sýnis	nhee	sýni
106	ta	106
þ.	as	þ.

áhv.	as	áhv.
590	ta	590
þ.	as	þ.

Tilb.	as	Tilb.
óskast	sfm3fn	óska
.	.	.

Ssk	as	Ssk
.	.	.

S.	as	s.
866	ta	866
2432	ta	2432
.	.	.

Tilboð	nhen	tilboð
!	!	!

Hyundai	e	Hyundai
Elantra	e	Elantra
Wagon	e	Wagon
'	'	'
01	ta	01
.	.	.

1.6	ta	1.6
vél	nven	vél
.	.	.

ek.	as	ek.
30	ta	30
þ.	as	þ.
sjálfsk.	as	sjálfsk.

Verð	nhen	verð
890	ta	890
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
847	ta	847
7217	ta	7217
.	.	.

Tjónaður	lkensf	tjónaður
Hyundai	e	Hyundai
Starex	e	Starex
.	.	.

4X4	ta	4x4
'	'	'
99	ta	99
.	.	.

7	ta	7
manna	nkfe	maður
.	.	.

Ökufær	lkensf	ökufær
.	.	.

Verð	nhen	verð
780	ta	780
þ.	as	þ.

S.	as	s.
690	ta	690
2577	ta	2577
.	.	.

Chrysler	e	Chrysler
Stratus	e	Stratus
'	'	'
97	ta	97
,	,	,
2,5	ta	2,5
vél	nven	vél
,	,	,
innfluttur	lkensf	innfluttur
nýr	lkensf	nýr
.	.	.

Listaverð	nhen	listaverð
750	ta	750
þ.	as	þ.

Skipti	nhfn	skipti
á	aþ	á
húsbíl	nkeþ	húsbíll
.	.	.

Tilboð	nhen	tilboð
550	ta	550
þ.	as	þ.

S.	as	s.
897	ta	897
8692	ta	8692
.	.	.

Renault	e	Renault
Clio	e	Clio
'	'	'
00	ta	00
,	,	,
ek.	as	ek.
53	ta	53
þús.	as	þús.

Gott	lhensf	góður
eintak	nhen	eintak
,	,	,
smur-	nven	smurbók
og	c	og
þjónustubók	nven	þjónustubók
fylgir	sfg3en	fylgja
.	.	.

Glæný	lhfnsf	glænýr
sumardekk	nhfn	sumardekk
.	.	.

Vetrardekk	nhfn	vetrardekk
fylgja	sfg3fn	fylgja
.	.	.

Verð	nhen	verð
820.000	ta	820.000
.	.	.

Uppl.	as	uppl.
822	ta	822
8332	ta	8332
.	.	.

Daewoo	e	Daewoo
Lanos	e	Lanos
1,6	ta	1,6
árgerð	nven	árgerð
'	'	'
00	ta	00
,	,	,
ekinn	lkensf	ekinn
53	ta	53
þúsund	tfkfo	þúsund
,	,	,
topplúga	nven	topplúga
,	,	,
fimm	tfvfe	fimm
dyra	nvfe	dyr
,	,	,
fimm	tfkfe	fimm
gíra	nkfe	gír
,	,	,
álfelgur	nvfn	álfelga
,	,	,
14	ta	14

vetrar-	nhfn	vetrardekk
og	c	og
sumardekk	nhfn	sumardekk
.	.	.

Áhvílandi	lhfnof	áhvílandi
670	to	670
þúsund	nhfn	þúsund
.	.	.

Verð	nhen	verð
750	to	750
þúsund	ta	þúsund
.	.	.

Sími	nken	sími
845	ta	845
5620	ta	5620
.	.	.

Toyota	e	Toyota
Avensis	e	Avensis
1,8	ta	1,8
árg.	as	árg.
'	'	'
00	ta	00
,	,	,
ek.	as	ek.
72	ta	72
þ.	as	þ.
,	,	,
ssk	as	ssk
.	.	.

Verð	nhen	verð
1.190	ta	1.190
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
896	ta	896
1819	ta	1819
.	.	.

Til	ae	til
sölu	nvee	sala
VW	as	VW
Golf	e	Golf
GTI	e	GTI
'	'	'
99	ta	99
ekinn	lkensf	ekinn
85	ta	85
þús.	as	þús.
km	as	km
.	.	.

Einn	foken	einn
mest	aae	mikið
breytti	lkenvf	breyttur
Golf	nken-s	Golf
á	aþ	á
landinu	nheþg	land
,	,	,
einn	foken	einn
með	aþ	með
öllu	foheþ	allur
.	.	.

17	ta	17

og	c	og
18	ta	18

felgur	nvfn	felga
.	.	.

Þarfnast	sfm3en	þarfnast
smá	lveeof	smá
lagfæringar	nvee	lagfæring
.	.	.

Tilboð	nhen	tilboð
1.690	ta	1.690
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
899	ta	899
1160	ta	1160
.	.	.

Alfa	e	Alfa
Romeo	e	Romeo
156	ta	156
2,0L	as	2,0l
,	,	,
ti	x	ti
,	,	,
beinsk.	as	beinsk.
,	,	,
árg.	as	árg.

2000	ta	2000
,	,	,
ekinn	lkensf	ekinn
78	ta	78
þ.	as	þ.

Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.

Skipti	nhfn	skipti
möguleg	lhfnsf	mögulegur
.	.	.

Sími	nken	sími
693	ta	693
1873	ta	1873
.	.	.

Dodge	e	Dodge
Stratus	e	Stratus
R	e	R
/	/	/
T	e	T
2001	ta	2001
V6	ta	V6
.	.	.

5	ta	5
gíra	nkfe	gír
,	,	,
leður	nhen	leður
,	,	,
17	ta	17

felgur	nvfn	felga
.	.	.

Ekinn	lkensf	ekinn
49.000	ta	49.000
mílur	nvfo	míla
.	.	.

Verð	nhen	verð
1.890	ta	1.890
þús.	as	þús.

Uppl.	as	uppl.
555	ta	555
1540	ta	1540
.	.	.

Peugeot	e	Peugeot
406	ta	406
árg.	as	árg.
'	'	'
01	ta	01
ek.	as	ek.
72	ta	72
þús.	as	þús.

Filmur	nvfn	filma
,	,	,
cruise	e	cruise
og	c	og
dráttarkrókur	nken	dráttarkrókur
.	.	.

Verð	nhen	verð
1.350	ta	1.350
þús.	as	þús.

Sk.	as	Sk.
ód.	as	ód.
og	c	og
skoða	sfg1en	skoða
húsbíl	nkeo	húsbíll
.	.	.

S.	as	s.
660	ta	660
0117	ta	0117
.	.	.

SUBARU	e	SUBARU
Impreza	e	Impreza
GX	as	GX
árg.	as	árg.
'	'	'
01	ta	01
ekinn	lkensf	ekinn
46	ta	46
þús.	as	þús.

Vel	aa	vel
með	aa	með
farinn	lkensf	farinn
.	.	.

Sumar-	nhfn	sumardekk
og	c	og
vetrardekk	nhfn	vetrardekk
.	.	.

Verð	nhen	verð
1450	ta	1450
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
894	ta	894
5499	ta	5499
.	.	.

Subaru	e	Subaru
Impreza	e	Impreza
gx	as	gx
árg.	as	árg.
'	'	'
02	ta	02
ek.	as	ek.
55	ta	55
þús.	as	þús.

Ásett	lhensf	ásettur
verð	nhen	verð
1720	ta	1720
,	,	,
fæst	sfm3en	fá
nú	aa	nú
á	ao	á
1500	ta	1500
.	.	.

Áhv.	as	áhv.
lán	nhen	lán
610	ta	610
þús.	as	þús.
13	ta	13
þús.	as	þús.
per	as	per
mán.	as	mán.

Uppl.	as	uppl.
865	ta	865
2556	ta	2556
,	,	,
Árni	nken-s	Árni
.	.	.

Regal	e	Regal
176	ta	176
SE	e	SE
.	.	.

Árgerð	nven	árgerð
2002	ta	2002
ek.	as	ek.
tæpa	lkfosf	tæpur
50	ta	50
tíma	nkfo	tími
,	,	,
135	ta	135
hp	as	hp
mercruiser	e	mercruiser
inb	e	inb
/	/	/
outb	e	outb
,	,	,
8	ta	8
farþegar	nkfn	farþegi
,	,	,
mjög	aa	mjög
góður	lkensf	góður
vagn	nken	vagn
,	,	,
GPS	as	GPS
,	,	,
fiskifjá	x	fiskisjá
,	,	,
eins	aa	eins
og	c	og
úr	aþ	úr
búðinni	nveþg	búð
.	.	.

Verð	nhen	verð
1.840	ta	1.840
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
821	ta	821
7660	ta	7660
.	.	.

BMW	as	BMW
316i	ta	316i
1.9L	as	1.9l
árgerð	nven	árgerð
1999	ta	1999
.	.	.

ek.	as	ek.
98	ta	98
þ.	as	þ.
km	as	km
.	.	.

17	ta	17

álfelgur	nvfn	álfelga
,	,	,
mjög	aa	mjög
fallegur	lkensf	fallegur
.	.	.

Verð	nhen	verð
1.490	ta	1.490
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
821	ta	821
7660	ta	7660
.	.	.

VW	as	VW
Bora	e	Bora
2001	ta	2001
ekinn	lkensf	ekinn
59.000	ta	59.000
km	as	km
.	.	.

Skoðaður	lkensf	skoðaður
'	'	'
06	ta	06
.	.	.

Nýyfirfarinn	lkensf	nýyfirfarinn
á	aþ	á
verkstæði	nheþ	verkstæði
.	.	.

Dráttarbeisli	nhen	dráttarbeisli
.	.	.

Verð	nhen	verð
1.350.000	ta	1.350.000
.	.	.

S.	as	s.
691	ta	691
1399	ta	1399
.	.	.

M.BENZ	e	M.BENZ
C	x	C
200	ta	200
STATION	e	STATION
,	,	,
Esprit	e	Esprit
selection	e	selection
árg.	as	árg.
2000	ta	2000
ek.	as	ek.
118.000	ta	118.000
km	as	km
,	,	,
silfur	nhen	silfur
,	,	,
glertopplúga	nven	glertopplúga
,	,	,
pluss	nhee	pluss
áklæði	nhen	áklæði
,	,	,
rafdrifnar	lvfnsf	rafdrifinn
rúður	nvfn	rúða
.	.	.

Verð	nhen	verð
1.950.000	ta	1.950.000
.	.	.

Sími	nken	sími
862	ta	862
2000	ta	2000
,	,	,
e-mail	nhen	e-mail
a.magnusson@simnet.is	v	a.magnusson@simnet.is

Alfa	e	Alfa
Romeo	e	Romeo
Sportwagon	e	Sportwagon
'	'	'
02	ta	02
,	,	,
ek.	as	ek.
29	ta	29
þ.	as	þ.

Áhv.	as	áhv.
900	ta	900
þ.	as	þ.

Verð	nhen	verð
1.890	ta	1.890
þ.	as	þ.

Ath.	as	Ath.
öll	fohfo	allur
skipti	nhfo	skipti
.	.	.

861	ta	861
1020	ta	1020
.	.	.

Glæsilegur	lkensf	glæsilegur
Transam	e	Transam
!	!	!

Transam	e	Transam
Ramair	e	Ramair
WS6	ta	WS6
-	-	-
'	'	'
96	ta	96
.	.	.

ek.	as	ek.
70	ta	70
þ.	as	þ.

Beinsk.	as	beinsk.
6	ta	6
gíra	nkfe	gír
.	.	.

Með	aþ	með
öllu	foheþ	allur
.	.	.

V.	as	V.
1.850	ta	1.850
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
899	ta	899
8995	ta	8995
.	.	.

BMW	as	BMW
520ia	ta	520ia
steptronic	e	steptronic
,	,	,
árgerð	nven	árgerð
'	'	'
98	ta	98
,	,	,
ekinn	lkensf	ekinn
131	ta	131
þús.	as	þús.

Ásett	lhensf	ásettur
verð	nhen	verð
1.980	ta	1.980
þús	x	þús
,	,	,
skipti	nhfn	skipti
á	aþ	á
ódýrari	lkeþvm	ódýr
athugandi	slg	athuga
.	.	.

S.	as	s.
898	ta	898
9963	ta	9963
.	.	.

Opel	e	Opel
Vectra	e	Vectra
CDX	as	CDX
2.5	ta	2.5
,	,	,
6	ta	6
cyl.	e	cyl.
170	ta	170
hö	x	hö
.	.	.

Sprækur	lkensf	sprækur
hlaðinn	lkensf	hlaðinn
aukab.	as	aukab.

V.	as	V.
1.490	ta	1.490
þ.	as	þ.

S.	as	s.
552	ta	552
0498	ta	0498
.	.	.

Ford	e	Ford
Focus	e	Focus
GHIA	e	GHIA
1600	ta	1600
cc	as	cc
,	,	,
árgerð	nven	árgerð
01/00	ta	01/00
,	,	,
4ra	ta	4ra
dyra	nvfe	dyr
,	,	,
sjálfskiptur	lkensf	sjálfskiptur
,	,	,
ekinn	lkensf	ekinn
aðeins	aa	aðeins
40	ta	40
þúsund	ta	þúsund
,	,	,
sumar-	nhfn	sumardekk
og	c	og
vetrardekk	nhfn	vetrardekk
á	aþ	á
felgum	nvfþ	felga
.	.	.

Verð	nhen	verð
1.100	ta	1.100
þúsund	ta	þúsund
staðgreitt	sþghen	staðgreiða
.	.	.

Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
896	ta	896
3658	ta	3658
eftir	aa	eftir
kl.	as	kl.
13	ta	13
.	.	.

BMW	as	BMW
316	ta	316
Ci	e	Ci
árgerð	nven	árgerð
2000	ta	2000
ekinn	lkensf	ekinn
30.000	ta	30.000
km	as	km
.	.	.

Verð	nhen	verð
2.150.000	ta	2.150.000
.	.	.

Ath.	as	Ath.
skipti	nhfo	skipti
á	aþ	á
ódýrari	lkeþvm	ódýr
.	.	.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
696	ta	696
3867	ta	3867
.	.	.

Nýr	lkensf	nýr
Ford	e	Ford
Expl.	as	Expl.
Sport	e	Sport
Track	e	Track
'	'	'
04	ta	04
,	,	,
4x4	ta	4x4
,	,	,
ssk.	as	ssk.
,	,	,
40	ta	40
km	as	km
.	.	.

Leður	nhen	leður
,	,	,
toppl.	as	toppl.
,	,	,
rafm.	as	rafm.
í	aþ	í
öllu	foheþ	allur
,	,	,
álfelg.	as	álfelg.
,	,	,
álbretti	nhfn	álbretti
á	aþ	á
hliðum	nvfþ	hlið
,	,	,
Poineer	e	Poineer
510w	ta	510w
,	,	,
6	ta	6
CD	as	CD
m	as	m
/	/	/
MP3	ta	MP3
og	c	og
9	ta	9
hátölurum	nkfþ	hátalari
.	.	.

V.	as	V.
3.980	ta	3.980
þús.	as	þús.

S.	as	s.
821	ta	821
6666	ta	6666
.	.	.

Stórglæsilegur	lkensf	stórglæsilegur
Audi	e	Audi
TT	e	TT
Quattro	e	Quattro
235	ta	235
Hp	e	Hp
til	ae	til
sölu	nvee	sala
.	.	.

2002	ta	2002
árg.	as	árg.
,	,	,
ekinn	lkensf	ekinn
14,500	ta	14,500
þ.	as	þ.

Einn	foken	einn
með	aþ	með
öllu	foheþ	allur
.	.	.

Áhvílandi	lvfnof	áhvílandi
2.200	ta	2.200
m.kr.	as	m.kr.

Verð	nhen	verð
3.650.	ta	3.650.
m.kr.	as	m.kr.

Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
565	ta	565
0308	ta	0308
&	c	&
699	ta	699
5595	ta	5595
.	.	.

Til	ae	til
sölu	nvee	sala
MMC	as	MMC
Pajero	e	Pajero
2.8	ta	2.8
árg.	as	árg.
06/02	ta	06/02
,	,	,
ek.	as	ek.
80	ta	80
þús.	as	þús.

Beinsk.	as	beinsk.
,	,	,
dísel	nxen	dísel
,	,	,
7	ta	7
manna	nkfe	maður
,	,	,
leðurklæddur	lkensf	leðurklæddur
,	,	,
sóllúga	nven	sóllúga
,	,	,
dráttarkúla	nven	dráttarkúla
,	,	,
þjófavörn	nven	þjófavörn
,	,	,
útvarp	nhen	útvarp
,	,	,
CD	as	CD
,	,	,
sumar-	nhfn	sumardekk
og	c	og
vetradekk	nhfn	vetradekk
32	ta	32
»	»	»
.	.	.

Verð	nhen	verð
2.950	ta	2.950
þús.	as	þús.

Til	ae	til
sölu	nvee	sala
og	c	og
sýnis	nhee	sýni
hjá	aþ	hjá
Bílaþingi	nkeþ-s	bílaþing
Heklu	nvee-s	Hekla
sími	nken	sími
590	ta	590
5040	ta	5040
.	.	.

Grand	e	Grand
Cherokee	e	Cherokee
'	'	'
99	ta	99
35	ta	35

breyttur	lkensf	breyttur
.	.	.

Glæsilegur	lkensf	glæsilegur
bíll	nken	bíll
.	.	.

Verð	nhen	verð
2,3	ta	2,3
m.	as	m.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
691	ta	691
1115	ta	1115
.	.	.

Dodge	e	Dodge
Ram	e	Ram
Hemi	e	Hemi
2500	ta	2500
.	.	.

Árg.	as	Árg.
'	'	'
03	ta	03
,	,	,
ekinn	lkensf	ekinn
15	ta	15
þ.	as	þ.

Með	aþ	með
húsi	nheþ	hús
og	c	og
plast	nhen	plast
í	aþ	í
skúffu	nveþ	skúffa
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
820	ta	820
0019	ta	0019
.	.	.

Góður	lkensf	góður
Patrol	e	Patrol
'	'	'
99	ta	99
,	,	,
ek.	as	ek.
98	ta	98
þ.	as	þ.

Bogar	nkfn	bogi
,	,	,
dráttakúla	nven	dráttakúla
.	.	.

Verð	nhen	verð
2.6	ta	2.6
mil.	as	mil.

Bein	lvensf	beinn
sala	nven	sala
.	.	.

S.	as	s.
894	ta	894
0804	ta	0804
.	.	.

Ford	e	Ford
F	x	F
350	ta	350
Lariat	e	Lariat
7.3	ta	7.3
diesel	e	diesel
.	.	.

Árgerð	nven	árgerð
2002	ta	2002
.	.	.

Leður	nhen	leður
o.fl.	as	o.fl.

Ekinn	lkensf	ekinn
29	ta	29
þm	as	þm
.	.	.

Verð	nhen	verð
3.980	ta	3.980
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
821	ta	821
7660	ta	7660
.	.	.

M.BENZ	e	M.BENZ
ML	x	ML
430	ta	430
21	ta	21
.	.	.

Árg.	as	Árg.
2000	ta	2000
.	.	.

ek.	as	ek.
65.000	ta	65.000
km	as	km
,	,	,
svartur	lkensf	svartur
,	,	,
aukafelgur	nvfn	aukafelga
,	,	,
leður	nhen	leður
,	,	,
glertopplúga	nven	glertopplúga
,	,	,
CD	as	CD
,	,	,
þjónustubók	nven	þjónustubók
,	,	,
bíll	nken	bíll
með	aþ	með
öllu	foheþ	allur
.	.	.

Verð	nhen	verð
4.980.000	ta	4.980.000
.	.	.

Ágúst	nken-s	Ágúst
,	,	,
862	ta	862
2000	ta	2000
-	-	-
a.magnusson@simnet.is	v	a.magnusson@simnet.is

AUDI	e	AUDI
A6	ta	A6
4.2	ta	4.2
QUATTRO	e	QUATTRO
V8	x	V8
2001	ta	2001
model	e	model
300	ta	300
hö	x	hö
ek.	as	ek.
94	ta	94
þús.	as	þús.

Verð	nhen	verð
3.980.000	ta	3.980.000
.	.	.

Leðuráklæði	nhen	leðuráklæði
,	,	,
TV	as	TV
,	,	,
NAF	as	NAF
,	,	,
CD	as	CD
magasín	nhen	magasín
,	,	,
glertopplúga	nven	glertopplúga
,	,	,
sími	nken	sími
,	,	,
-	-	-
Xenon	e	Xenon
aðalljós	nhen	aðalljós
,	,	,
Bose	e	Bose
hljómkerfi	nhen	hljómkerfi
og	c	og
fl.	as	fl.

Verð	nhen	verð
3.980.000	ta	3.980.000
,	,	,
bílalán	nhen	bílalán
2.770.000	ta	2.770.000
.	.	.

Sími	nken	sími
862	ta	862
2000	ta	2000
.	.	.

E-mail	nhen	E-mail
a.magnusson@simnet.is	v	a.magnusson@simnet.is

BMW	as	BMW
745	ta	745
I	e	I
STEPTRONIC	e	STEPTRONIC
02/2002	ta	02/2002
ek.	as	ek.
79.000	ta	79.000
km	as	km
.	.	.

Silfurgr.	as	silfurgr.
,	,	,
Xenon-ljós	nhfn-s	Xenon-ljós
,	,	,
leður	nhen	leður
,	,	,
bíll	nken	bíll
með	aþ	með
öllu	foheþ	allur
.	.	.

Verð	nhen	verð
6.800.000	ta	6.800.000
.	.	.

Ágúst	nken-s	Ágúst
862	ta	862
2000	ta	2000
,	,	,
E-mail	nhen	E-mail
a.magnussun@simnet.is	v	a.magnussun@simnet.is

Volvo	e	Volvo
S	e	S
80	ta	80
executive	e	executive
ek.	as	ek.
90	ta	90
þ.	as	þ.
mílur	nvfo	míla
,	,	,
ssk.	as	ssk.
,	,	,
álfelgur	nvfn	álfelga
,	,	,
leður	nhen	leður
,	,	,
glertopplúga	nven	glertopplúga
,	,	,
9	ta	9
hátalara	nkfe	hátalari
hljómkerfi	nhen	hljómkerfi
,	,	,
spólvörn	nven	spólvörn
,	,	,
200	ta	200
hestöfl	nhfn	hestafl
,	,	,
bíll	nken	bíll
gjörsamlega	aa	gjörsamlega
hlaðinn	lkensf	hlaðinn
aukabúnaði	nkeþ	aukabúnaður
.	.	.

Ásett	lhensf	ásettur
verð	nhen	verð
2.690.000,-	ta	2.690.000,-
tilboð	nhen	tilboð
stgr	as	stgr
.	.	.

2.290.000,-	ta	2.290.000,-
möguleiki	nken	möguleiki
á	aþ	á
að	c	að
lán	nhen	lán
fylgi	svg3en	fylgja
með	aa	með
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
820	ta	820
3371	ta	3371
.	.	.

Til	ae	til
sölu	nvee	sala
Pajero	e	Pajero
2800	ta	2800
ssk.	as	ssk.
,	,	,
langur	lkensf	langur
2000	ta	2000
módel	nhen	módel
,	,	,
fyrst	aae	fyrr
sk.	as	sk.
25/11/99	ta	25/11/99
.	.	.

ek.	as	ek.
83.000	ta	83.000
km	as	km
.	.	.

Blár	lkensf	blár
/	/	/
grár	lkensf	grár
,	,	,
32	ta	32

dekk	nhfn	dekk
,	,	,
brettak.	as	brettak.
,	,	,
varadekkshlíf	nven	varadekkshlíf
,	,	,
leðurinnrétting	nven	leðurinnrétting
,	,	,
topplúga	nven	topplúga
o.fl.	as	o.fl.

Uppl.	as	uppl.
464	ta	464
1917	ta	1917
&	c	&
894	ta	894
1822	ta	1822
.	.	.

Óska	sfg1en	óska
eftir	aþ	eftir
bíl	nkeþ	bíll
með	aþ	með
góðum	lkeþsf	góður
stgr.	as	stgr.
afslætti	nkeþ	afsláttur
.	.	.

Á	ao	á
30-100	ta	30-100
þ.	as	þ.
stgr	as	stgr
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
898	ta	898
8859	ta	8859
&	c	&
892	ta	892
5675	ta	5675
.	.	.

Vantar	sfg3en	vanta
nothæfan	lkeosf	nothæfur
bíl	nkeo	bíll
á	ao	á
10-50	ta	10-50
þúsund	ta	þúsund
.	.	.

Má	sfg3en	mega
þarfnast	snm	þarfnast
lagfæringar	nvee	lagfæring
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
661	ta	661
6032	ta	6032
.	.	.

Óska	sfg1en	óska
eftir	aþ	eftir
sjálfskiptum	lkeþsf	sjálfskiptur
bíl	nkeþ	bíll
,	,	,
sk.	as	sk.
'	'	'
05	ta	05
,	,	,
á	aþ	á
bilinu	nheþg	bil
50-100	ta	50-100
þús.	as	þús.

Sími	nken-s	Sími
899	ta	899
8544	ta	8544
.	.	.

Óska	sfg1en	óska
eftir	aþ	eftir
SAAB	as	SAAB
99	ta	99
,	,	,
sjálfskiptum	lkeþsf	sjálfskiptur
.	.	.

'	'	'
82	ta	82
eða	c	eða
yngri	lkeþvm	ungur
.	.	.

Body	nhen	body
má	sfg3en	mega
vera	sng	vera
lélegt	lhensf	lélegur
.	.	.

S.	as	s.
696	ta	696
2313	ta	2313
.	.	.

Bílar	nkfn	bíll
óskast	sfm3fn	óska
Óska	sfg1en	óska
eftir	aþ	eftir
að	cn	að
kaupa	sng	kaupa
rúmgóðan	lkeosf	rúmgóður
fjölskyldubíl	nkeo	fjölskyldubíll
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
565	ta	565
5136	ta	5136
.	.	.

Óska	sfg1en	óska
eftir	aþ	eftir
MMC	as	MMC
Galant	e	Galant
'	'	'
88	ta	88
-	-	-
'	'	'
92	ta	92
eða	c	eða
Honda	e	Honda
Accord	e	Accord
'	'	'
90	ta	90
-	-	-
'	'	'
94	ta	94
.	.	.

Ástand	nhen	ástand
skiptir	sfg3en	skipta
ekki	aa	ekki
máli	nheþ	mál
,	,	,
mega	sfg3fn	mega
vera	sng	vera
númerisl	x	númerisl
.	.	.

50	ta	50
CENT	e	CENT
Lifði	sfg3eþ	lifa
af	aa	af
skotárás	nveo	skotárás
þrátt	aa	þrátt
fyrir	ao	fyrir
að	c	að
níu	tfvfn	níu
byssukúlur	nvfn	byssukúla
hafi	svg3fn	hafa
hæft	ssg	hæfa
hann	fpkeo	hann
,	,	,
eða	c	eða
«	«	«
aðeins	aa	aðeins
níu	tfvfn	níu
»	»	»
eins	aa	eins
og	c	og
hann	fpken	hann
orðar	sfg3en	orða
það	fpheo	það
sjálfur	fbken	sjálfur
.	.	.

Rísandi	lvenof	rísandi
rappstjarna	nven	rappstjarna
:	:	:
Undir	aþ	undir
verndarvæng	nkeþ	verndarvængur
Eminem	e	Eminem

KVIKMYNDIR	nvfn	kvikmynd
Leikkonan	nveng	leikkona
Julianne	e	Julianne
Moore	e	Moore
segir	sfg3en	segja
að	c	að
það	fphen	það
sé	svg3en	vera
betra	lhenvm	góður
að	cn	að
kyssa	sng	kyssa
konur	nvfo	kona
á	aþ	á
hvíta	lheþvf	hvítur
tjaldinu	nheþg	tjald
en	c	en
karla	nkfo	karl
vegna	ae	vegna
þess	fphee	það
að	c	að
þær	fpvfn	hún
lykti	svg3fn	lykta
betur	aam	vel
.	.	.

Hún	fpven	hún
segist	sfm3en	segja
ekki	aa	ekki
hafa	sng	hafa
átt	ssg	eiga
í	aþ	í
neinum	fohfþ	neinn
vandræðum	nhfþ	vandræði
með	ao	með
að	cn	að
kyssa	sng	kyssa
mótleikkonu	nveo	mótleikkona
sína	feveo	sinn
Toni	e	Toni
Collette	e	Collette
í	aþ	í
kvikmyndinni	nveþg	kvikmynd
«	«	«
The	e	The
Hours	e	Hours
,	,	,
»	»	»
sem	ct	sem
sýnd	sþgven	sýna
er	sfg3en	vera
í	aþ	í
bandarískum	lhfþsf	bandarískur
kvikmyndahúsum	nhfþ	kvikmyndahús
um	ao	um
þessar	favfo	þessi
mundir	nvfo	mund
við	ao	við
góðan	lkeosf	góður
orðstír	nkeo	orðstír
.	.	.

«	«	«
Hún	fpven	hún
lyktaði	sfg3eþ	lykta
svo	aa	svo
vel	aa	vel
,	,	,
»	»	»
sagði	sfg3eþ	segja
Moore	e	Moore
í	aþ	í
viðtali	nheþ	viðtal
við	ao	við
breska	lheovf	breskur
blaðið	nheog	blað
Sunday	e	Sunday
Mirror	e	Mirror
.	.	.

«	«	«
Þegar	c	þegar
þú	fp2en	þú
kyssir	sfg2en	kyssa
leikara	nkeo	leikari
veistu	sfg2en	vita
ekki	aa	ekki
hvernig	aa	hvernig
hann	fpken	hann
kemur	sfg3en	koma
til	aa	til
með	aa	með
að	cn	að
lykta	nvfe	lykt
.	.	.

En	c	en
þegar	c	þegar
þú	fp2en	þú
kyssir	sfg2en	kyssa
leikkonu	nveo	leikkona
veistu	sfg2en	vita
að	c	að
hún	fpven	hún
lyktar	sfg3en	lykta
vel	aa	vel
og	c	og
er	sfg3en	vera
mjúk	lvensf	mjúkur
.	.	.

Þannig	aa	þannig
eru	sfg3fn	vera
strákarnir	nkfng	strákur
ekki	aa	ekki
.	.	.
»	»	»

Moore	e	Moore
,	,	,
sem	ct	sem
er	sfg3en	vera
gift	lvensf	giftur
tveggja	tfhfe	tveir
barna	nhfe	barn
móðir	nven	móðir
,	,	,
segist	sfm3en	segja
þó	aa	þó
aldrei	aa	aldrei
hafa	sng	hafa
kysst	ssg	kyssa
aðrar	fovfo	annar
konur	nvfo	kona
í	aþ	í
einkalífi	nheþ	einkalíf
sínu	feheþ	sinn
því	fpheþ	það
þar	aa	þar
eigi	svg3en	eiga
karlmenn	nkfn	karlmaður
hug	nkeo	hugur
hennar	fpvee	hún
allan	fokeo	allur
.	.	.

Julianne	e	Julianne
Moore	e	Moore
:	:	:
Betra	lhenvm	góður
að	cn	að
kyssa	sng	kyssa
konur	nvfo	kona

MOORE	e	MOORE
Julianne	e	Julianne
Moore	e	Moore
er	sfg3en	vera
meðal	ae	meðal
annars	fohee	annar
þekkt	lvensf	þekktur
fyrir	ao	fyrir
leik	nkeo	leikur
sinn	fekeo	sinn
í	aþ	í
kvikmyndunum	nvfþg	kvikmynd
«	«	«
Boogie	e	Boogie
Nights	e	Nights
»	»	»
og	c	og
«	«	«
Magnolia	e	Magnolia
.	.	.
»	»	»

Leikararnir	nkfng	leikari
úr	aþ	úr
Friends	e	Friends
