þessu	faheþ	þessi
mörk	nhfo	mark
gegn	aþ	gegn
Lettum	nkfþ-s	Letti
sem	ct	sem
sitja	sfg3fn	sitja
í	aþ	í
neðsta	lheþve	neðri
sæti	nheþ	sæti
okkar	fp1fe	ég
riðils	nkee	riðill
.	.	.
Meira	lheovm	mikill
að	cn	að
segja	sng	segja
Liechtenstein	e	Liechtenstein
lagði	sfg3eþ	leggja
Letta	nkfo-s	Letti
.	.	.
Þessi	fahfn	þessi
fjögur	tfhfn	fjórir
mörk	nhfn	mark
eru	sfg3fn	vera
einu	lhfnvf	einn
mörkin	nhfng	mark
sem	ct	sem
Lettar	nkfn-s	Letti
hafa	sfg3fn	hafa
skorað	ssg	skora
í	aþ	í
fimm	tfkfþ	fimm
leikjum	nkfþ	leikur
í	aþ	í
undankeppninni	nveþg	undankeppni
.	.	.
Í	aþ	í
þessum	fakeþ	þessi
bíl	nkeþ	bíll
fá	sfg3fn	fá
allir	fokfn	allur
eitthvað	foheo	einhver
fyrir	ao	fyrir
sig	fpkfo	sig
.	.	.
Ökumaðurinn	nkeng	ökumaður
fær	sfg3en	fá
lipran	lkeosf	lipur
og	c	og
skemmtilegan	lkeosf	skemmtilegur
bíl	nkeo	bíll
og	c	og
vel	aa	vel
fer	sfg3en	fara
um	ao	um
alla	fokfo	allur
farþega	nkfo	farþegi
,	,	,
ekki	aa	ekki
síst	aae	síður
þá	fakfo	sá
yngri	lkfovm	ungur
sem	ct	sem
sitja	sfg3fn	sitja
í	aþ	í
aftursætinu	nheþg	aftursæti
.	.	.
«	«	«
Þetta	fahen	þessi
er	sfg3en	vera
eins	aa	eins
og	c	og
í	aþ	í
flugvél	nveþ	flugvél
,	,	,
»	»	»
sagði	sfg3eþ	segja
einn	foken	einn
farþegi	nken	farþegi
í	aþ	í
aftursæti	nheþ	aftursæti
um	ao	um
leið	nveo	leið
og	c	og
hann	fpken	hann
dró	sfg3eþ	draga
upp	aa	upp
borð	nheo	borð
aftan	aa	aftan
á	aþ	á
framsætunum	nhfþg	framsæti
.	.	.
Geymslurýmið	nheng	geymslurými
er	sfg3en	vera
líka	aa	líka
mikið	lhensf	mikill
,	,	,
til	ae	til
dæmis	nhee	dæmi
undir	aþ	undir
sætum	nhfþ	sæti
og	c	og
á	aa	á
milli	ae	milli
framsæta	nhfe	framsæti
.	.	.
Þar	aa	þar
er	sfg3en	vera
færanlegur	lkensf	færanlegur
miðstokkur	nken	miðstokkur
,	,	,
mjög	aa	mjög
rúmgóður	lkensf	rúmgóður
,	,	,
og	c	og
hanskahólfið	nheng	hanskahólf
er	sfg3en	vera
sérlega	aa	sérlega
stórt	lhensf	stór
og	c	og
þar	aa	þar
að	aa	að
auki	aa	auki
hægt	lhensf	hægur
að	cn	að
fá	sng	fá
það	fpheo	það
með	aþ	með
kælibúnaði	nkeþ	kælibúnaður
,	,	,
sem	ct	sem
er	sfg3en	vera
skemmtilegur	lkensf	skemmtilegur
aukabúnaður	nken	aukabúnaður
í	aþ	í
sumarferðunum	nvfþg	sumarferð
.	.	.
Bíllinn	nkeng	bíll
er	sfg3en	vera
raunar	aa	raunar
afar	aa	afar
vel	aa	vel
hannaður	lkensf	hannaður
til	ae	til
ferðalaga	nhfe	ferðalag
.	.	.
Renault	e	Renault
Scenic	e	Scenic
er	sfg3en	vera
mjög	aa	mjög
þægilegur	lkensf	þægilegur
í	aþ	í
akstri	nkeþ	akstur
.	.	.
Bílstjórinn	nkeng	bílstjóri
situr	sfg3en	sitja
hátt	aa	hátt
og	c	og
sér	sfg3en	sjá
því	aa	því
vel	aa	vel
yfir	aa	yfir
.	.	.
Bíllinn	nkeng	bíll
er	sfg3en	vera
þýður	lkensf	þýður
,	,	,
þægilegur	lkensf	þægilegur
í	aþ	í
stýri	nheþ	stýri
og	c	og
liggur	sfg3en	liggja
vel	aa	vel
á	aþ	á
veginum	nkeþg	vegur
.	.	.
Allar	fovfn	allur
aðstæður	nvfn	aðstæður
ökumanns	nkee	ökumaður
eru	sfg3fn	vera
eins	aa	eins
og	c	og
best	aae	vel
er	sfg3en	vera
á	aa	á
kosið	sþghen	kjósa
,	,	,
mælaborðið	nheng	mælaborð
aðgengilegt	lhensf	aðgengilegur
og	c	og
skýrt	lhensf	skýr
,	,	,
fjarstýring	nven	fjarstýring
á	aþ	á
útvarpi	nheþ	útvarp
í	aþ	í
stýri	nheþ	stýri
og	c	og
handbremsa	nven	handbremsa
sem	ct	sem
fer	sfg3en	fara
sjálfkrafa	aa	sjálfkrafa
af	aa	af
þegar	c	þegar
tekið	sþghen	taka
er	sfg3en	vera
af	aþ	af
stað	nkeþ	staður
,	,	,
svo	aa	svo
aðeins	aa	aðeins
nokkur	fohfn	nokkur
dæmi	nhfn	dæmi
séu	svg3fn	vera
tekin	sþghfn	taka
.	.	.
Þegar	c	þegar
á	ao	á
heildina	nveog	heild
er	sfg3en	vera
litið	sþghen	líta
er	sfg3en	vera
bíllinn	nkeng	bíll
alveg	aa	alveg
til	ae	til
fyrirmyndar	nvee	fyrirmynd
.	.	.
sigridur@frettabladid.is	v	sigridur@frettabladid.is
steinunn@frettabladid.is	v	steinunn@frettabladid.is
Hyundai	e	Hyundai
hefur	sfg3en	hafa
aldrei	aa	aldrei
fyrr	aam	fyrr
framleitt	ssg	framleiða
eins	aa	eins
mikinn	lkeosf	mikill
fjölda	nkeo	fjöldi
bíla	nkfe	bíll
í	aþ	í
verksmiðjum	nvfþ	verksmiðja
sínum	fevfþ	sinn
í	aþ	í
Kína	nheþ-s	Kína
,	,	,
Indlandi	nheþ-s	Indland
og	c	og
Tyrklandi	nheþ-s	Tyrkland
eins	aa	eins
og	c	og
í	aþ	í
mars	nkeþ	mars
síðastliðnum	lkeþsf	síðastliðinn
.	.	.
Allar	fovfn	allur
þrjár	tfvfn	þrír
verksmiðjur	nvfn	verksmiðja
Hyundai	e	Hyundai
utan	ae	utan
Suður-Kóreu	nvee-s	Suður-Kórea
settu	sfg3fþ	setja
framleiðslumet	nheo	framleiðslumet
í	aþ	í
mars	nkeþ	mars
og	c	og
ganga	sfg3fn	ganga
nú	aa	nú
fyrir	aþ	fyrir
fullum	lhfþsf	fullur
afköstum	nhfþ	afkast
að	aþ	að
því	fpheþ	það
er	ct	er
fram	aa	fram
kemur	sfg3en	koma
í	aþ	í
fréttatilkynningu	nveþ	fréttatilkynning
B	nxee-s	B
&	c	&
L.	nxee-s	L
Kostir	nkfn	kostur
:	:	:
Ökumaður	nken	ökumaður
og	c	og
farþegar	nkfn	farþegi
sitja	sfg3fn	sitja
hátt	aa	hátt
og	c	og
sjá	sfg3fn	sjá
því	aa	því
vel	aa	vel
Einstaklega	aa	einstaklega
þægileg	lhfnsf	þægilegur
sæti	nhfn	sæti
sem	ct	sem
styðja	sfg3fn	styðja
vel	aa	vel
við	aa	við
án	ae	án
þess	fphee	það
að	cn	að
vera	sng	vera
hörð	lhfnsf	harður
Fótarými	nhen	fótarými
farþega	nkfe	farþegi
í	aþ	í
aftursæti	nheþ	aftursæti
er	sfg3en	vera
mjög	aa	mjög
gott	lhensf	góður
(	(	(
engin	foven	enginn
hæð	nven	hæð
í	aþ	í
miðju	lheþsf	miður
gólfi	nheþ	gólf
)	)	)
Mikið	lhensf	mikill
geymslupláss	nhen	geymslupláss
-	-	-
þarna	aa	þarna
er	sfg3en	vera
hver	foken	hver
kimi	nken	kimi
nýttur	sþgken	nýta
Gallar	nkfn	galli
:	:	:
Svolítið	aa	svolítið
þunglamalegur	lkensf	þunglamalegur
í	aþ	í
beygjum	nvfþ	beygja
Verð	nhen	verð
*	*	*
Beinskiptur	lkensf	beinskiptur
:	:	:
2.190.000	ta	2.190.000
Sjálfskiptur	lkensf	sjálfskiptur
:	:	:
2.340.000	ta	2.340.000
*	*	*
Ýmiss	fokee	ýmis
konar	nkee	konar
aukabúnaður	nken	aukabúnaður
er	sfg3en	vera
fáanlegur	lkensf	fáanlegur
.	.	.
Falleg	lvensf	fallegur
hönnun	nven	hönnun
og	c	og
gott	lhensf	góður
rými	nhen	rými
fyrir	ao	fyrir
alla	foveo	allur
fjölskylduna	nveog	fjölskylda
.	.	.
HÚSRÁÐ	nhfn	húsráð
:	:	:
BÍLAR	nkfn	bíll
BÓNAÐIR	sþgkfn	bóna
Þumalputtareglan	nveng	þumalputtaregla
er	sfg3en	vera
að	cn	að
bóna	sng	bóna
einu	tfheþ	einn
sinni	nheþ	sinn
í	aþ	í
mánuði	nkeþ	mánuður
yfir	ao	yfir
vetrartímann	nkeog	vetrartími
og	c	og
á	aþ	á
tveggja	tfkfe	tveir
mánaða	nkfe	mánuður
fresti	nkeþ	frestur
á	ao	á
sumrin	nhfog	sumar
.	.	.
«	«	«
Við	fp1fn	ég
ætlum	sfg1fn	ætla
okkur	fp1fþ	ég
að	cn	að
bjóða	sng	bjóða
almenna	lveosf	almennur
bílaþjónustu	nveo	bílaþjónusta
á	aþ	á
betra	lheþvm	góður
verði	nheþ	verð
,	,	,
»	»	»
segir	sfg3en	segja
Björgvin	nken-s	Björgvin
Steinarsson	nken-s	Steinarsson
,	,	,
eigandi	nken	eigandi
HDI	as	HDI
á	aþ	á
Íslandi	nheþ-s	Ísland
sem	ct	sem
er	sfg3en	vera
nýstofnað	lhensf	nýstofnaður
fyrirtæki	nhen	fyrirtæki
í	aþ	í
Garðabænum	nkeþgs	Garðabær
.	.	.
Björgvin	nken-s	Björgvin
segir	sfg3en	segja
alla	fokfo	allur
starfsmennina	nkfog	starfsmaður
vera	sng	vera
með	ao	með
mikla	lveosf	mikill
reynslu	nveo	reynsla
á	aþ	á
sínu	feheþ	sinn
sviði	nheþ	svið
en	c	en
þá	aa	þá
kannski	aa	kannski
sérstaklega	aa	sérstaklega
öllu	foheþ	allur
sem	ct	sem
tengist	svm3en	tengja
bílarafmagni	nheþ	bílarafmagn
.	.	.
Þeir	fpkfn	hann
sjá	sfg3fn	sjá
um	ao	um
allt	foheo	allur
sem	ct	sem
viðkemur	sfg3en	viðkoma
innsetningu	nveþ	innsetning
,	,	,
viðgerð	nveþ	viðgerð
og	c	og
viðhaldi	nheþ	viðhald
á	aþ	á
rafkerfi	nheþ	rafkerfi
og	c	og
búnaði	nkeþ	búnaður
í	ao	í
bíla	nkfo	bíll
eins	aa	eins
og	c	og
til	ae	til
dæmis	nhee	dæmi
hljómflutningstæki	nhfo	hljómflutningstæki
og	c	og
þjófavarnarkerfi	nhfo	þjófavarnarkerfi
.	.	.
«	«	«
Þjófnaður	nken	þjófnaður
á	aþ	á
bílum	nkfþ	bíll
hefur	sfg3en	hafa
aukist	ssm	auka
talsvert	aa	talsvert
í	aa	í
gegnum	ao	gegnum
árin	nhfog	ár
og	c	og
eftirspurn	nven	eftirspurn
eftir	aþ	eftir
þjófavarnarkerfum	nhfþ	þjófavarnarkerfi
samkvæmt	aþ	samkvæmt
því	fpheþ	það
.	.	.
Við	fp1fn	ég
aðstoðum	sfg1fn	aðstoða
fólk	nheo	fólk
við	ao	við
ísetningu	nveo	ísetning
á	aþ	á
slíku	fbheþ	slíkur
kerfi	nheþ	kerfi
auk	ae	auk
þess	fphee	það
sem	c	sem
við	fp1fn	ég
getum	sfg1fn	geta
hjálpað	ssg	hjálpa
til	aa	til
við	ao	við
að	cn	að
stilla	sng	stilla
næmi	nheo	næmi
þess	fphee	það
.	.	.
Um	ao	um
áramótin	nhfog	áramót
getur	sfg3en	geta
fólk	nhen	fólk
komið	ssg	koma
til	ae	til
okkar	fp1fe	ég
með	ao	með
kerfið	nheog	kerfi
í	ao	í
stillingu	nveo	stilling
svo	aa	svo
allt	fohen	allur
fari	svg3en	fara
ekki	aa	ekki
í	ao	í
gang	nkeo	gangur
þegar	c	þegar
flugeldarnir	nkfng	flugeldur
springa	sfg3fn	springa
,	,	,
»	»	»
segir	sfg3en	segja
Björgvin	nken-s	Björgvin
.	.	.
Enn	aa	enn
fremur	aam	fremur
sér	sfg3en	sjá
HDI	as	HDI
um	ao	um
ísetningu	nveo	ísetning
á	aþ	á
fjarstartkerfi	nheþ	fjarstartkerfi
sem	ct	sem
virkar	sfg3en	virka
á	ao	á
þann	fakeo	sá
veg	nkeo	vegur
að	c	að
bílinn	nkeog	bíll
er	sfg3en	vera
gangsettur	sþgken	gangsetja
með	aþ	með
fjarstýringu	nveþ	fjarstýring
.	.	.
«	«	«
Maður	nken	maður
getur	sfg3en	geta
setið	ssg	sitja
inni	aa	inni
í	aþ	í
rólegheitum	nhfþ	rólegheit
með	ao	með
kaffibollann	nkeog	kaffibolli
á	aa	á
meðan	c	meðan
bílinn	x	bíll
hitnar	sfg3en	hitna
fyrir	aa	fyrir
utan	aa	utan
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
gangsett	ssg	gangsetja
hann	fpkeo	hann
út	aa	út
um	ao	um
eldhúsgluggann	nkeog	eldhúsgluggi
,	,	,
»	»	»
segir	sfg3en	segja
Björgvin	nken-s	Björgvin
.	.	.
«	«	«
Og	c	og
þarf	sfg3en	þurfa
þá	aa	þá
ekki	aa	ekki
að	cn	að
hlaupa	sng	hlaupa
út	aa	út
í	ao	í
kaldan	lkeosf	kaldur
bílinn	nkeog	bíll
.	.	.
»	»	»
Björgvin	nken-s	Björgvin
segir	sfg3en	segja
allan	fokeo	allur
almennan	lkeosf	almennur
búnað	nkeo	búnaður
í	ao	í
bíla	nkfo	bíll
vera	sng	vera
að	cn	að
finna	sng	finna
í	aþ	í
verslun	nveþ	verslun
þeirra	fpkfe	hann
þar	aa	þar
sem	c	sem
einnig	aa	einnig
er	sfg3en	vera
í	aþ	í
boði	nheþ	boð
sérpöntunarþjónusta	nven	sérpöntunarþjónusta
.	.	.
Jafnframt	aa	jafnframt
er	sfg3en	vera
þar	aa	þar
að	cn	að
finna	sng	finna
búnað	nkeo	búnaður
fyrir	ao	fyrir
ökutæki	nhfo	ökutæki
og	c	og
ökumenn	nkfo	ökumaður
í	aþ	í
aksturskeppnum	nvfþ	aksturskeppni
svo	aa	svo
sem	c	sem
eins	aa	eins
og	c	og
hjálma	nkfo	hjálmur
og	c	og
búninga	nkfo	búningur
og	c	og
margt	lheosf	margur
fleira	lheovm	margur
.	.	.
«	«	«
Í	aþ	í
raun	nveþ	raun
ætlum	sfg1fn	ætla
við	fp1fn	ég
okkur	fp1fþ	ég
að	cn	að
bjóða	sng	bjóða
allt	foheo	allur
sem	ct	sem
fólk	nhen	fólk
þarf	sfg3en	þurfa
í	ao	í
bílinn	nkeog	bíll
og	c	og
fyrir	ao	fyrir
bílinn	nkeog	bíll
allt	foheo	allur
frá	aþ	frá
bílaþvotti	nkeþ	bílaþvottur
upp	aa	upp
í	ao	í
þjófavarnarkerfi	nhfo	þjófavarnarkerfi
,	,	,
»	»	»
segir	sfg3en	segja
Björgvin	nken-s	Björgvin
.	.	.
Þvottur	nken	þvottur
og	c	og
þjófavarnarkerfi	nhfn	þjófavarnarkerfi
DAEWOO	e	DAEWOO
lyftarar	nkfn	lyftari
Rafmagnslyftarar	nkfn	rafmagnslyftari
frá	aþ	frá
1,3t	ta	1,3t
-	-	-
3,0t	ta	3,0t
Dísellyftarar	nkfn	dísellyftari
frá	aþ	frá
1,5t	ta	1,5t
-	-	-
15t	ta	15t
.	.	.
Partur	nken	partur
-	-	-
Spyrnan	nveng	spyrna
-	-	-
Lyftarar	nkfn	lyftari
Eldshöfða	nkeþ-s	Eldshöfði
10	ta	10
,	,	,
110	ta	110
Reykjavík	nveþ-s	Reykjavík
,	,	,
sími	nken	sími
585	ta	585
2500	ta	2500
Næsta	lhenve	næstur
námskeið	nhen	námskeið
hefst	sfm3en	hefja
13.	ta	13.
maí	nkeo	maí
Hvað	fshen	hver
ræður	sfg3en	ráða
úrslitum	nhfþ	úrslit
við	ao	við
val	nheo	val
á	aþ	á
bíl	nkeþ	bíll
?	?	?
Vissar	lvfnsf	viss
upplýsingar	nvfn	upplýsing
úr	aþ	úr
blöðunum	nhfþg	blað
,	,	,
til	ae	til
dæmis	nhee	dæmi
lág	lvensf	lágur
bilanatíðni	nven	bilanatíðni
.	.	.
Ég	fp1en	ég
er	sfg1en	vera
nýbúinn	lkensf	nýbúinn
að	cn	að
kaupa	sng	kaupa
mér	fp1eþ	ég
Nissan	e	Nissan
Almera	e	Almera
af	aþ	af
því	fpheþ	það
að	c	að
hann	fpken	hann
kom	sfg3eþ	koma
vel	aa	vel
út	aa	út
úr	aþ	úr
slíkum	fbvfþ	slíkur
prófunum	nvfþ	prófun
.	.	.
Jón	nken-s	Jón
Sigurðsson	nken-s	Sigurðsson
JÓN	nken-s	Jón
HEIÐAR	nken-s	Heiðar
ÓLAFSSON	nken-s	Ólafsson
BENDIR	sfg3en	benda
Á	ao	á
AÐ	c	að
EINA	lvenvf	einn
LEIÐIN	nveng	leið
TIL	ae	til
AÐ	cn	að
LOSNA	sng	losna
VIÐ	ao	við
LÖNGUN	nveo	löngun
Í	ao	í
AMERÍSKA	lkfosf	amerískur
BÍLA	nkfo	bíll
ER	sfg3en	vera
AÐ	cn	að
KAUPA	sng	kaupa
EINN	tfkeo	einn
SLÍKAN	fbkeo	slíkur
.	.	.
Blessaður	lkensf	blessaður
og	c	og
sæll	lkensf	sæll
!	!	!
Mig	fp1eo	ég
hefur	sfg3en	hafa
lengið	x	lengi
langað	ssg	langa
í	ao	í
amerískan	lkeosf	amerískur
dreka	nkeo	dreki
með	aþ	með
gamla	lheþvf	gamall
laginu	nheþg	lag
.	.	.
Eyða	sfg3fn	eyða
þessir	fakfn	þessi
bílar	nkfn	bíll
svakalega	aa	svakalega
miklu	lheþsf	mikill
?	?	?
Er	sfg3en	vera
maður	nken	maður
kannski	aa	kannski
að	cn	að
skjóta	sng	skjóta
sig	fpkeo	sig
í	ao	í
fótinn	nkeog	fótur
ef	c	ef
maður	nken	maður
kaupir	sfg3en	kaupa
gamlan	lkeosf	gamall
amerískan	lkeosf	amerískur
bíl	nkeo	bíll
?	?	?
Jóhann	nken-s	Jóhann
Ég	fp1en	ég
kannast	sfm1en	kanna
vel	aa	vel
við	ao	við
þessa	faveo	þessi
löngun	nveo	löngun
í	ao	í
að	cn	að
eignast	snm	eigna
alvöru	nvee	alvara
amerískan	lkeosf	amerískur
bíl	nkeo	bíll
.	.	.
Fátt	lhensf	fár
er	sfg3en	vera
töffaralegra	lhenvm	töffaralegur
en	c	en
glansandi	lkenof	glansandi
amerískur	lkensf	amerískur
dreki	nken	dreki
með	aþ	með
flottu	lheþsf	flottur
«	«	«
sándi	nheþ	sánd
»	»	»
úr	aþ	úr
opnu	lheþsf	opinn
pústi	nheþ	púst
.	.	.
Þessir	fakfn	þessi
gömlu	lkfnvf	gamall
mótorar	nkfn	mótor
nýta	sfg3fn	nýta
bensínið	nheog	bensín
hins	fakee	hinn
vegar	nkee	vegur
ekki	aa	ekki
eins	aa	eins
vel	aa	vel
og	c	og
nýjar	lvfnsf	nýr
vélar	nvfn	vél
af	aþ	af
svipaðri	lveþsf	svipaður
stærð	nveþ	stærð
og	c	og
þeir	fpkfn	hann
eyða	sfg3fn	eyða
þar	aa	þar
með	aþ	með
meiru	lheþvm	meiru
en	c	en
gengur	sfg3en	ganga
og	c	og
gerist	sfm3en	gera
.	.	.
Það	fahen	sá
sem	ct	sem
hefur	sfg3en	hafa
hvað	fohen	hver
mest	lheose	mikill
að	cn	að
segja	sng	segja
um	ao	um
bensíneyðsluna	nveog	bensíneyðsla
er	sfg3en	vera
þyngdin	nveng	þyngd
á	aþ	á
bílnum	nkeþg	bíll
og	c	og
þessir	fakfn	þessi
amerísku	lkfnvf	amerískur
bílar	nkfn	bíll
eru	sfg3fn	vera
yfirleitt	aa	yfirleitt
mjög	aa	mjög
þungir	lkfnsf	þungur
.	.	.
Þumalputtareglan	nveng	þumalputtaregla
er	sfg3en	vera
sú	faven	sá
að	c	að
það	fphen	það
þarf	sfg3en	þurfa
einn	tfkeo	einn
lítra	nkeo	lítri
af	aþ	af
bensíni	nheþ	bensín
til	ae	til
að	cn	að
koma	sng	koma
100	ta	100
kílóum	nhfþ	kíló
100	ta	100
kílómetra	nkfo	kílómetri
.	.	.
Þannig	aa	þannig
að	c	að
bíll	nken	bíll
sem	ct	sem
vegur	sfg3en	vega
tvö	tfhfo	tveir
tonn	nhfo	tonn
eyðir	sfg3en	eyða
20	ta	20
lítrum	nkfþ	lítri
á	ao	á
hverja	fokfo	hver
100	ta	100
kílómetra	nkfo	kílómetri
.	.	.
Á	aþ	á
góðum	lkeþsf	góður
degi	nkeþ	dagur
þegar	c	þegar
gaman	nhen	gaman
er	sfg3en	vera
að	cn	að
gefa	sng	gefa
allt	foheo	allur
í	ao	í
botn	nkeo	botn
og	c	og
spóla	sng	spóla
svolítið	aa	svolítið
eru	sfg3fn	vera
engin	fohfn	enginn
takmörk	nhfn	takmark
fyrir	aþ	fyrir
því	fpheþ	það
hvað	fshen	hver
svona	lkenof	svona
bíll	nken	bíll
getur	sfg3en	geta
eytt	ssg	eyða
miklu	lheþsf	mikill
.	.	.
Ekki	aa	ekki
má	sfg3en	mega
svo	aa	svo
gleyma	sng	gleyma
því	fpheþ	það
að	c	að
stórir	lkfnsf	stór
gamlir	lkfnsf	gamall
bílar	nkfn	bíll
þurfa	sfg3fn	þurfa
mikið	lheosf	mikill
viðhald	nheo	viðhald
.	.	.
Ef	c	ef
maður	nken	maður
þarf	sfg3en	þurfa
að	cn	að
kaupa	sng	kaupa
alla	foveo	allur
viðhaldsvinnu	nveo	viðhaldsvinna
má	sfg3en	mega
búast	snm	búa
við	ao	við
að	c	að
það	fphen	það
verði	svg3en	verða
dýrt	lhensf	dýr
.	.	.
Ég	fp1en	ég
ráðlegg	sfg1en	ráðleggja
þér	fp2eþ	þú
nú	aa	nú
samt	aa	samt
að	cn	að
láta	sng	láta
drauminn	nkeog	draumur
rætast	snm	ræta
.	.	.
Það	fphen	það
er	sfg3en	vera
eina	lvenvf	einn
leiðin	nveng	leið
til	ae	til
að	cn	að
losna	sng	losna
við	ao	við
löngunina	nveog	löngun
.	.	.
Hafðu	sbg2en	hafa
svo	aa	svo
vélina	nveog	vél
alltaf	aa	alltaf
vel	aa	vel
stillta	lveosf	stilltur
og	c	og
keyrðu	sbg2en	keyra
á	aþ	á
skynsamlegum	lkeþsf	skynsamlegur
hraða	nkeþ	hraði
!	!	!
Vantar	sfg3en	vanta
þig	fp2eo	þú
góð	lhfosf	góður
ráð	nhfo	ráð
?	?	?
Sendu	sbg2en	senda
póst	nkeo	póstur
á	ao	á
bilar@frettabladid.is	v	bilar@frettabladid.is
Björgvin	nken-s	Björgvin
Steinarsson	nken-s	Steinarsson
sérhæfir	sfg3en	sérhæfa
sig	fpkeo	sig
í	aþ	í
að	cn	að
setja	sng	setja
þjófavarnarkerfi	nhfo	þjófavarnarkerfi
í	ao	í
bíla	nkfo	bíll
.	.	.
SMÁ	lvfeof	smá
AUGLÝSINGA	nvfe	auglýsing
SÍMINN	nkeng	sími
ER	sfg3en	vera
OPINN	lkensf	opinn
ALLA	fokfo	allur
DAGA	nkfo	dagur
FRÁ	aþ	frá
8-22	ta	8-22
Bílskúrssala	nven	bílskúrssala
Efstasundi	nheþ-s	Efstasund
24	ta	24
.	.	.
Ýmsar	fovfn	ýmis
barnavörur	nvfn	barnavara
og	c	og
ýmislegt	lhensf	ýmislegur
fleira	lhenvm	margur
.	.	.
Opið	lhensf	opinn
frá	aþ	frá
12-16	ta	12-16
.	.	.
Coleman	e	Coleman
Redwood	e	Redwood
9	ta	9
fet	nhfn	fet
Árg.	as	Árg.
2000	ta	2000
.	.	.
Fortjald	nhen	fortjald
,	,	,
ísskápur	nken	ísskápur
og	c	og
sólarsella	nven	sólarsella
.	.	.
Verð	nhen	verð
730.000	ta	730.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Coleman	e	Coleman
Taos	e	Taos
8	ta	8
fet	nhfn	fet
.	.	.
Árg.	as	Árg.
1998	ta	1998
.	.	.
Verð	nhen	verð
420.000	ta	420.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Coleman	e	Coleman
Sea	e	Sea
Pine	e	Pine
10	ta	10
fet	nhfn	fet
Árg.	as	Árg.
1999	ta	1999
.	.	.
Hlaðin	lvensf	hlaðinn
aukahlutum	nkfþ	aukahlutur
.	.	.
Verð	nhen	verð
780.000	ta	780.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Coleman	e	Coleman
Taos	e	Taos
8	ta	8
fet	nhfn	fet
.	.	.
Árg.	as	Árg.
2001	ta	2001
.	.	.
Einstaklega	aa	einstaklega
vel	aa	vel
með	aa	með
farin	x	farinn
vagn	nken	vagn
.	.	.
Verð	nhen	verð
680.000	ta	680.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Coleman	e	Coleman
Santa	e	Santa
Fe	e	Fe
10	ta	10
fet	nhfn	fet
Árg.	as	Árg.
2002	ta	2002
.	.	.
Einstaklega	aa	einstaklega
vel	aa	vel
með	aa	með
farin	x	farinn
vagn	nken	vagn
.	.	.
Verð	nhen	verð
930.000	ta	930.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Coleman	e	Coleman
Sedona	e	Sedona
8	ta	8
fet	nhfn	fet
Árg.	as	Árg.
1993	ta	1993
.	.	.
Fortjald	nhen	fortjald
,	,	,
gamall	lkensf	gamall
og	c	og
góður	lkensf	góður
.	.	.
Verð	nhen	verð
460.000	ta	460.000
.	.	.
Til	ae	til
sýnis	nhee	sýni
hjá	aþ	hjá
Evró	nxeþ-s	Evró
,	,	,
sími	nken	sími
533	ta	533
1414	ta	1414
.	.	.
Evró	nxen-s	Evró
-	-	-
Notaðir	lkfnsf	notaður
vagnar	nkfn	vagn
Skeifunni	nveþgs	Skeifa
,	,	,
Reykjavík	nveþ-s	Reykjavík
Sími	nken	sími
:	:	:
533	ta	533
1414	ta	1414
www.evro.is	v	www.evro.is
HONDA	e	HONDA
CRF	as	CRF
450	ta	450
R	x	r
árg.	as	árg.
2002	ta	2002
.	.	.
Verð	nhen	verð
590	ta	590
þ.	as	þ.
TOYOTA	e	Toyota
LANDCR	e	LANDCR
90	ta	90
DISEL	e	DISEL
VX	as	VX
(	(	(
38	ta	38
)	)	)
nýsk.	as	nýsk.
5/99	ta	5/99
km	as	km
115	ta	115
.	.	.
Ssk	as	Ssk
.	.	.
Verð	nhen	verð
3.690	ta	3.690
,	,	,
lán	nhen	lán
1.950	ta	1.950
þ.	as	þ.
Ath.	as	Ath.
skipti	nhfo	skipti
.	.	.
NISSAN	e	NISSAN
PRIMERA	e	PRIMERA
ELEGANCE	e	ELEGANCE
2000	ta	2000
nýsk.	as	nýsk.
2002	ta	2002
km	as	km
20	ta	20
þ.	as	þ.
Ssk	as	Ssk
.	.	.
Verð	nhen	verð
1.990	ta	1.990
þ.	as	þ.
,	,	,
lán	nhen	lán
1.600	ta	1.600
þ.	as	þ.
ATH.	as	ATH.
SKIPTI	nhfo	skipti
Á	aþ	á
NÝL.	as	NÝL.
BENZ	e	BENZ
/	/	/
GRAND	e	Grand
CHEROKEE	e	CHEROKEE
LTD	e	LTD
/	/	/
OVERLAND	e	OVERLAND
