seldur	sþgken	selja
hlutirnir	nkfng	hlutur
eru	sfg3fn	vera
ekki	aa	ekki
í	aþ	í
lagi	nheþ	lag
skal	sfg3en	skulu
grípa	sng	grípa
til	ae	til
aðgerða	nvfe	aðgerð
skv.	as	skv.
16.	ta	16.
gr.	as	gr.
Í	aþ	í
2.	ta	2.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
greiðslu	nveo	greiðsla
þess	fakee	sá
kostnaðar	nkee	kostnaður
sem	ct	sem
hlýst	sfm3en	hljóta
af	aþ	af
eftirlitinu	nheþg	eftirlit
og	c	og
vísað	sþghen	vísa
til	ae	til
4.	ta	4.
mgr.	as	mgr.
10.	ta	10.
gr.	as	gr.
laganna	nhfeg	lag
.	.	.
Um	ao	um
13.	ta	13.
gr.	as	gr.
Í	aþ	í
greininni	nveþg	grein
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
skuli	svg3en	skulu
senda	sng	senda
haustskýrslur	nvfo	haustskýrsla
,	,	,
sbr.	as	sbr.
11.	ta	11.
gr.	as	gr.
,	,	,
til	ae	til
viðkomandi	lheeof	viðkomandi
búnaðarsambands	nhee	búnaðarsamband
eigi	aa	eigi
síðar	aam	síðar
en	c	en
31.	ta	31.
desember	nkeo	desember
ár	nheo	ár
hvert	foheo	hver
.	.	.
Búnaðarsamböndin	nhfng	búnaðarsamband
yfirfara	sfg3fn	yfirfara
gögnin	nhfog	gagn
og	c	og
senda	sfg3fn	senda
Bændasamtökum	nhfþ-s	Bændasamtök
Íslands	nhee-s	Ísland
frumritin	nhfog	frumrit
eigi	aa	eigi
síðar	aam	síðar
en	c	en
20.	ta	20.
janúar	nkeo	janúar
.	.	.
Bændasamtökin	nhfngs	Bændasamtök
annast	sfm3fn	anna
úrvinnslu	nveo	úrvinnsla
upplýsinganna	nvfeg	upplýsing
og	c	og
skulu	sfg3fn	skulu
þær	fpvfn	hún
heimilar	lvfnsf	heimill
til	ae	til
afnota	nhfe	afnot
fyrir	ao	fyrir
Hagstofu	nveo-s	Hagstofa
Íslands	nhee-s	Ísland
,	,	,
Hagþjónustu	nveo-s	hagþjónusta
landbúnaðarins	nkeeg	landbúnaður
,	,	,
Bændasamtök	nhfo-s	Bændasamtök
Íslands	nhee-s	Ísland
og	c	og
fleiri	lkfovm	margur
opinbera	lkfosf	opinber
aðila	nkfo	aðili
að	aþ	að
fengnu	lheþsf	fenginn
leyfi	nheþ	leyfi
landbúnaðarráðuneytisins	nheeg	landbúnaðarráðuneyti
.	.	.
Um	ao	um
14.	ta	14.
gr.	as	gr.
Greinin	nveng	grein
fjallar	sfg3en	fjalla
um	ao	um
búfé	nheo	búfé
í	aþ	í
hagagöngu	nveþ	hagaganga
og	c	og
hver	fsken	hver
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
því	fpheþ	það
.	.	.
Séu	svg3fn	vera
gripir	nkfn	gripur
í	aþ	í
hagagöngu	nveþ	hagaganga
á	aþ	á
eyðijörðum	nvfþ	eyðijörð
eða	c	eða
landspildum	nvfþ	landspilda
þar	aa	þar
sem	c	sem
ekki	aa	ekki
er	sfg3en	vera
föst	lvensf	fastur
búseta	nven	búseta
skal	sfg3en	skulu
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
ætíð	aa	ætíð
tilgreina	sng	tilgreina
tilsjónarmann	nkeo	tilsjónarmaður
,	,	,
fyrirframsamþykktan	lkeosf	fyrirframsamþykktur
af	aþ	af
sveitarstjórn	nveþ	sveitarstjórn
.	.	.
Tilsjónarmaður	nken	tilsjónarmaður
sér	sfg3en	sjá
um	ao	um
fóðrun	nveo	fóðrun
og	c	og
eftirlit	nheo	eftirlit
með	aþ	með
aðbúnaði	nkeþ	aðbúnaður
búfjár	nhee	búfé
og	c	og
beitilöndum	nhfþ	beitiland
þess	fphee	það
.	.	.
Tilsjónarmaður	nken	tilsjónarmaður
skal	sfg3en	skulu
skráður	sþgken	skrá
á	ao	á
viðkomandi	lveoof	viðkomandi
skýrslu	nveo	skýrsla
.	.	.
Umráðamaður	nken	umráðamaður
lands	nhee	land
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
fullnægjandi	lvfþof	fullnægjandi
upplýsingum	nvfþ	upplýsing
um	ao	um
búfé	nheo	búfé
í	aþ	í
hagagöngu	nveþ	hagaganga
og	c	og
umráðamann	nkeo	umráðamaður
þess	fphee	það
.	.	.
Um	ao	um
15.	ta	15.
gr.	as	gr.
Greinin	nveng	grein
fjallar	sfg3en	fjalla
um	ao	um
það	fpheo	það
þegar	c	þegar
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
synjar	sfg3en	synja
búfjáreftirlitsmanni	nkeþ	búfjáreftirlitsmaður
um	ao	um
aðgang	nkeo	aðgangur
að	aþ	að
gripahúsum	nhfþ	gripahús
eða	c	eða
beitilöndum	nhfþ	beitiland
og	c	og
ekki	aa	ekki
verður	sfg3en	verða
komið	sþghen	koma
við	aa	við
upplýsingaöflun	nveþ	upplýsingaöflun
samkvæmt	aþ	samkvæmt
lögunum	nhfþg	lag
.	.	.
Greinin	nveng	grein
er	sfg3en	vera
efnislega	aa	efnislega
samhljóða	lvenof	samhljóða
2.	ta	2.
mgr.	as	mgr.
10.	ta	10.
gr.	as	gr.
núgildandi	lhfeof	núgildandi
laga	nhfe	lag
.	.	.
Um	ao	um
16.	ta	16.
gr.	as	gr.
Héraðsdýralæknir	nken	héraðsdýralæknir
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
eftir	ao	eftir
að	c	að
ábending	nven	ábending
er	sfg3en	vera
komin	sþgven	koma
til	ae	til
hans	fpkee	hann
um	ao	um
vanfóðrun	nveo	vanfóðrun
og	c	og
/	/	/
eða	c	eða
slæman	lkeosf	slæmur
aðbúnað	nkeo	aðbúnaður
,	,	,
fari	svg3en	fara
málið	nheng	mál
hins	fakee	hinn
vegar	nkee	vegur
enn	aa	enn
lengra	aam	langt
og	c	og
komi	svg3en	koma
til	ae	til
aflífunar	nvee	aflífun
eða	c	eða
vörslusviptingar	nvee	vörslusvipting
færist	sfm3en	færa
ábyrgðin	nveng	ábyrgð
yfir	aa	yfir
á	ao	á
lögreglustjóra	nkeo	lögreglustjóri
.	.	.
Hér	aa	hér
er	sfg3en	vera
leitast	sþmhen	leita
við	ao	við
að	cn	að
gera	sng	gera
aðgerðir	nvfo	aðgerð
eftirlitsaðila	nkfe	eftirlitsaðili
skilvirkar	lvfosf	skilvirkur
.	.	.
Þegar	c	þegar
mál	nhfn	mál
eru	sfg3fn	vera
komin	sþghfn	koma
í	ao	í
farveg	nkeo	farvegur
samkvæmt	aþ	samkvæmt
þessari	faveþ	þessi
grein	nveþ	grein
er	sfg3en	vera
oft	aa	oft
þörf	nven	þörf
skjótra	lvfesf	skjótur
aðgerða	nvfe	aðgerð
og	c	og
því	aa	því
eru	sfg3fn	vera
allir	fokfn	allur
frestir	nkfn	frestur
styttir	sþgkfn	stytta
til	ae	til
muna	nkfe	munur
.	.	.
Auk	ae	auk
þess	fphee	það
er	sfg3en	vera
nákvæmlega	aa	nákvæmlega
skilgreint	sþghen	skilgreina
hver	fsken	hver
fer	sfg3en	fara
með	ao	með
ábyrgð	nveo	ábyrgð
á	aþ	á
hverju	foheþ	hver
stigi	nheþ	stig
.	.	.
Hér	aa	hér
er	sfg3en	vera
einnig	aa	einnig
bætt	sþghen	bæta
við	aa	við
heimild	nveþ	heimild
til	ae	til
aflífunar	nvee	aflífun
,	,	,
bæði	c	bæði
þegar	c	þegar
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
er	sfg3en	vera
vörslusviptur	sþgken	vörslusvipta
búfé	nheþ	búfé
,	,	,
sbr.	as	sbr.
4.	ta	4.
mgr.	as	mgr.
,	,	,
og	c	og
þegar	c	þegar
búfé	nhen	búfé
hefur	sfg3en	hafa
orðið	ssg	verða
fyrir	aþ	fyrir
varanlegum	lkeþsf	varanlegur
skaða	nkeþ	skaði
,	,	,
sbr.	as	sbr.
5.	ta	5.
mgr.	as	mgr.
Í	aþ	í
1.	ta	1.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
skuli	svg3en	skulu
tilkynna	sng	tilkynna
héraðsdýralækni	nkeþ	héraðsdýralæknir
komi	svg3en	koma
í	ao	í
ljós	nheo	ljós
að	c	að
aðbúnaður	nkeþ	aðbúnaðir
eða	c	eða
fóðrun	nveþ	fóðrun
sé	svg3en	vera
ábótavant	lhensf	ábótavant
eða	c	eða
búféð	nheng	búfé
beitt	sþghen	beita
harðýðgi	nveþ	harðýðgi
.	.	.
Skal	sfg3en	skulu
þá	aa	þá
héraðsdýralæknir	nken	héraðsdýralæknir
fara	sng	fara
á	ao	á
staðinn	nkeog	staður
og	c	og
meta	sng	meta
ástand	nheo	ástand
búfjár	nhee	búfé
og	c	og
aðstæður	nvfo	aðstæður
á	aþ	á
staðnum	nkeþg	staður
,	,	,
héraðsdýralæknir	nken	héraðsdýralæknir
getur	sfg3en	geta
farið	ssg	fara
einn	lkensf	einn
á	ao	á
staðinn	nkeog	staður
en	c	en
komi	svg3en	koma
til	ae	til
frekara	lheevm	frekur
eftirlits	nhee	eftirlit
skal	sfg3en	skulu
hann	fpken	hann
kalla	sng	kalla
til	aa	til
héraðsráðunaut	nkeo	héraðsráðunautur
og	c	og
/	/	/
eða	c	eða
fulltrúa	nkeo	fulltrúi
yfirdýralæknis	nkee	yfirdýralæknir
.	.	.
Héraðsdýralæknir	nken	héraðsdýralæknir
og	c	og
héraðsráðunautur	nken	héraðsráðunautur
eða	c	eða
fulltrúi	nken	fulltrúi
yfirdýralæknis	nkee	yfirdýralæknir
skulu	sfg3fn	skulu
skrifa	sng	skrifa
fyrirmæli	nhfo	fyrirmæli
um	ao	um
úrbætur	nvfo	úrbót
.	.	.
Nauðsynlegt	lhensf	nauðsynlegur
er	sfg3en	vera
að	c	að
tveir	tfkfn	tveir
sérfræðingar	nkfn	sérfræðingur
gefi	svg3fn	gefa
fyrirmælin	nhfog	fyrirmæli
.	.	.
Mikilvægt	lhensf	mikilvægur
er	sfg3en	vera
að	cn	að
gefa	sng	gefa
umráðamanni	nkeþ	umráðamaður
búfjár	nhee	búfé
frest	nkeo	frestur
til	ae	til
úrbóta	nvfe	úrbót
.	.	.
Frestur	nken	frestur
til	ae	til
úrbóta	nvfe	úrbót
ef	c	ef
um	ao	um
vanfóðrun	nveo	vanfóðrun
eða	c	eða
harðýðgi	nveo	harðýðgi
er	sfg3en	vera
að	cn	að
ræða	sng	ræða
skal	sfg3en	skulu
mest	aae	mikið
vera	sng	vera
ein	tfven	einn
vika	nven	vika
,	,	,
en	c	en
þrjár	tfvfn	þrír
vikur	nvfn	vika
ef	c	ef
aðbúnaði	nkeþ	aðbúnaður
er	sfg3en	vera
ábótavant	lhensf	ábótavant
.	.	.
Andmælafrestur	nken	andmælafrestur
aðila	nkfe	aðili
skal	sfg3en	skulu
mest	aae	mikið
vera	sng	vera
fjórir	tfkfn	fjórir
sólarhringar	nkfn	sólarhringur
.	.	.
Í	aþ	í
2.	ta	2.
mgr.	as	mgr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
þá	faveo	sá
stöðu	nveo	staða
þegar	c	þegar
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
meinar	sfg3en	meina
eftirlitsaðilum	nkfþ	eftirlitsaðili
samkvæmt	aþ	samkvæmt
þessari	faveþ	þessi
grein	nveþ	grein
um	ao	um
aðgang	nkeo	aðgangur
að	aþ	að
gripahúsum	nhfþ	gripahús
og	c	og
/	/	/
eða	c	eða
beitilöndum	nhfþ	beitiland
.	.	.
Þá	aa	þá
er	sfg3en	vera
nauðsynlegt	lhensf	nauðsynlegur
að	c	að
úrræðaferillinn	nkeng	úrræðaferill
sé	svg3en	vera
skýr	lkensf	skýr
,	,	,
héraðsdýralæknir	nken	héraðsdýralæknir
tilkynni	svg3en	tilkynna
lögreglustjóra	nkeþ	lögreglustjóri
um	ao	um
það	fpheo	það
skriflega	aa	skriflega
innan	ae	innan
sólarhrings	nkee	sólarhringur
og	c	og
lögreglustjóri	nken	lögreglustjóri
óski	svg3en	óska
eftir	aþ	eftir
dómsúrskurði	nkeþ	dómsúrskurður
.	.	.
Hér	aa	hér
verður	sfg3en	verða
að	cn	að
hafa	sng	hafa
í	aþ	í
huga	nkeþ	hugi
að	c	að
um	ao	um
lifandi	lhfoof	lifandi
dýr	nhfo	dýr
er	sfg3en	vera
að	cn	að
ræða	sng	ræða
og	c	og
því	aa	því
brýnt	lhensf	brýnn
að	cn	að
fá	sng	fá
dómsúrskurð	nkeo	dómsúrskurður
til	ae	til
aðgerða	nvfe	aðgerð
.	.	.
Í	aþ	í
3.	ta	3.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
frekari	lvfovm	frekur
aðgerðir	nvfo	aðgerð
virði	svg3en	virða
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
ekki	aa	ekki
þær	favfo	sá
ráðstafanir	nvfo	ráðstöfun
sem	ct	sem
lagðar	sþgvfn	leggja
voru	sfg3fþ	vera
fyrir	aa	fyrir
eða	c	eða
geti	svg3en	geta
ekki	aa	ekki
orðið	ssg	verða
við	aþ	við
þeim	fpvfþ	hún
og	c	og
er	sfg3en	vera
þá	aa	þá
hægt	lhensf	hægur
að	cn	að
vörslusvipta	sng	vörslusvipta
umráðamann	nkeo	umráðamaður
búfjárins	nheeg	búfé
búfénu	nheþg	búfé
.	.	.
Lögreglustjóri	nken	lögreglustjóri
tekur	sfg3en	taka
aðgerðir	nvfo	aðgerð
þá	aa	þá
í	ao	í
sínar	fevfo	sinn
hendur	nvfo	hönd
og	c	og
stýrir	sfg3en	stýra
þeim	fpvfþ	hún
.	.	.
Í	aþ	í
4.	ta	4.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
lögreglustjóri	nken	lögreglustjóri
ráðstafi	nken	ráðstafi
búfénu	nheþg	búfé
í	aþ	í
samráði	nheþ	samráð
við	ao	við
héraðsdýralækni	nkeo	héraðsdýralæknir
og	c	og
sveitarstjórn	nveo	sveitarstjórn
.	.	.
Kveðið	sþghen	kveða
er	sfg3en	vera
á	aa	á
um	ao	um
heimild	nveo	heimild
til	ae	til
að	cn	að
aflífa	sng	aflífa
búfé	nheo	búfé
að	aþ	að
undangengnum	lkeþsf	undangenginn
fjögurra	tfkfe	fjórir
sólarhringa	nkfe	sólarhringur
andmælafresti	nkeþ	andmælafrestur
umráðamanns	nkee	umráðamaður
búfjár	nhee	búfé
.	.	.
Í	aþ	í
5.	ta	5.
mgr.	as	mgr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
heimild	nveo	heimild
héraðsdýralæknis	nkee	héraðsdýralæknir
,	,	,
í	aþ	í
samráði	nheþ	samráð
við	ao	við
yfirdýralækni	nkeo	yfirdýralæknir
,	,	,
til	ae	til
að	cn	að
aflífa	sng	aflífa
búfé	nheo	búfé
innan	ae	innan
tveggja	tfkfe	tveir
sólarhringa	nkfe	sólarhringur
hafi	svg3en	hafa
það	fphen	það
orðið	ssg	verða
fyrir	aþ	fyrir
varanlegum	lkeþsf	varanlegur
skaða	nkeþ	skaði
sökum	ae	sökum
vanfóðrunar	nvee	vanfóðrun
,	,	,
harðýðgi	nvee	harðýðgi
,	,	,
slysa	nhfe	slys
eða	c	eða
slæms	lkeesf	slæmur
aðbúnaðar	nkee	aðbúnaður
.	.	.
Lögreglustjóri	nken	lögreglustjóri
ber	sfg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
aðgerðum	nvfþ	aðgerð
.	.	.
Hér	aa	hér
er	sfg3en	vera
nauðsynlegt	lhensf	nauðsynlegur
að	c	að
héraðsdýralæknir	nken	héraðsdýralæknir
eða	c	eða
annar	foken	annar
sérfræðingur	nken	sérfræðingur
meti	svg3en	meta
ástand	nheo	ástand
búfjárins	nheeg	búfé
.	.	.
Í	aþ	í
6.	ta	6.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
skyldur	nvfo	skylda
sveitarstjórnar	nvee	sveitarstjórn
til	ae	til
að	cn	að
útvega	sng	útvega
fóður	nheo	fóður
,	,	,
hlutast	ssm	hluta
til	aa	til
um	ao	um
fóðrun	nveo	fóðrun
og	c	og
umhirðu	nveo	umhirða
eða	c	eða
ráðstafa	sng	ráðstafa
búfé	nheþ	búfé
til	ae	til
fóðrunar	nvee	fóðrun
þar	aa	þar
til	aa	til
það	fphen	það
hefur	sfg3en	hafa
verið	ssg	vera
tekið	sþghen	taka
úr	aþ	úr
vörslu	nveþ	varsla
búfjáreiganda	nkee	búfjáreigandi
.	.	.
Þessar	favfn	þessi
skyldur	nvfn	skylda
eru	sfg3fn	vera
byggðar	sþgvfn	byggja
á	aþ	á
dýraverndarástæðum	nvfþ	dýraverndarástæða
og	c	og
þá	aa	þá
einkum	aa	einkum
vegna	ae	vegna
þess	fphee	það
að	c	að
nauðsynlegt	lhensf	nauðsynlegur
er	sfg3en	vera
að	c	að
staðkunnur	lkensf	staðkunnur
aðili	nken	aðili
beri	svg3en	bera
ábyrgð	nveo	ábyrgð
á	aþ	á
fóðrun	nveþ	fóðrun
og	c	og
vörslu	nveþ	varsla
búfjárins	nheeg	búfé
þar	aa	þar
til	aa	til
vitað	sþghen	vita
er	sfg3en	vera
um	ao	um
nánari	lhfovm	náinn
afdrif	nhfo	afdrif
þess	fphee	það
.	.	.
Í	aþ	í
7.	ta	7.
mgr.	as	mgr.
er	sfg3en	vera
síðan	aa	síðan
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
beri	svg3en	bera
allan	fokeo	allur
kostnað	nkeo	kostnaður
af	aþ	af
þessum	favfþ	þessi
ráðstöfunum	nvfþ	ráðstöfun
og	c	og
sveitarstjórn	nven	sveitarstjórn
,	,	,
lögreglustjóri	nken	lögreglustjóri
og	c	og
aðrir	fokfn	annar
eftirlitsaðilar	nkfn	eftirlitsaðili
eigi	svg3fn	eiga
lögveð	nhfo	lögveð
í	aþ	í
búfénu	nheþg	búfé
vegna	ae	vegna
kostnaðar	nkee	kostnaður
sem	ct	sem
hlýst	sfm3en	hljóta
af	aþ	af
þessari	faveþ	þessi
grein	nveþ	grein
.	.	.
Þó	aa	þó
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
það	fpheo	það
að	c	að
viðkomandi	lkenof	viðkomandi
eftirlitsaðili	nken	eftirlitsaðili
beri	svg3en	bera
allan	fokeo	allur
kostnað	nkeo	kostnaður
sem	ct	sem
hlýst	sfm3en	hljóta
af	aþ	af
tilefnislausri	lveþsf	tilefnislaus
tilkynningu	nveþ	tilkynning
.	.	.
Um	ao	um
17.	ta	17.
gr.	as	gr.
Hér	aa	hér
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
reglugerðir	nvfo	reglugerð
sem	ct	sem
landbúnaðarráðherra	nken	landbúnaðarráðherra
setur	sfg3en	setja
.	.	.
Í	aþ	í
gildandi	lhfþof	gildandi
lögum	nhfþ	lag
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
allar	fovfo	allur
þessar	favfo	þessi
reglugerðir	nvfo	reglugerð
nema	c	nema
reglugerð	nveo	reglugerð
um	ao	um
starfssvæði	nheo	starfssvæði
búfjáreftirlits	nhee	búfjáreftirlit
og	c	og
framkvæmd	nveo	framkvæmd
þess	fphee	það
.	.	.
Nauðsynlegt	lhensf	nauðsynlegur
þykir	sfg3en	þykja
að	c	að
nánar	aam	náið
sé	svg3en	vera
fjallað	sþghen	fjalla
um	ao	um
merkingar	nvfo	merking
búfjár	nhee	búfé
,	,	,
vörslu	nveo	varsla
búfjár	nhee	búfé
,	,	,
aðbúnað	nkeo	aðbúnaður
og	c	og
meðferð	nveo	meðferð
búfjár	nhee	búfé
í	aþ	í
sérstökum	lvfþsf	sérstakur
reglugerðum	nvfþ	reglugerð
.	.	.
Um	ao	um
18.-19.	ta	18.-19.
gr.	as	gr.
Greinarnar	nvfng	grein
þarfnast	sfm3fn	þarfnast
ekki	aa	ekki
skýringar	nvee	skýring
.	.	.
Fylgiskjal	nhen	fylgiskjal
I.	ta	I.
Sérálit	nhen	sérálit
.	.	.
Undirritaður	lkensf	undirritaður
skilar	sfg3en	skila
hér	aa	hér
eftirfarandi	lheþof	eftirfarandi
séráliti	nheþ	sérálit
um	ao	um
frumvarp	nheo	frumvarp
til	ae	til
laga	nhfe	lag
um	ao	um
búfjárhald	nheo	búfjárhald
o.fl.	as	o.fl.
Í	aþ	í
4.	ta	4.
mgr.	as	mgr.
10.	ta	10.
gr.	as	gr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
kostnað	nkeo	kostnaður
við	ao	við
búfjáreftirlit	nheo	búfjáreftirlit
.	.	.
Eins	aa	eins
og	c	og
greinin	nveng	grein
er	sfg3en	vera
orðuð	sþgven	orða
er	sfg3en	vera
sveitarstjórnum	nvfþ	sveitarstjórn
heimilt	lhensf	heimill
að	cn	að
leggja	sng	leggja
á	ao	á
alla	fokfo	allur
búfjáreigendur	nkfo	búfjáreigandi
eftirlitsgjald	nheo	eftirlitsgjald
til	ae	til
að	cn	að
standa	sng	standa
undir	aþ	undir
kostnaði	nkeþ	kostnaður
við	ao	við
eftirlitið	nheog	eftirlit
.	.	.
Það	fphen	það
er	sfg3en	vera
skoðun	nven	skoðun
undirritaðs	lkeesf	undirritaður
að	c	að
forðagæsla	nven	forðagæsla
og	c	og
búfjáreftirlit	nhen	búfjáreftirlit
sé	svg3en	vera
að	aþ	að
verulegum	lkeþsf	verulegur
hluta	nkeþ	hluti
opinbert	lhensf	opinber
eftirlit	nhen	eftirlit
fremur	aam	fremur
en	c	en
þjónusta	nven	þjónusta
við	ao	við
bændur	nkfo	bóndi
.	.	.
Því	aa	því
getur	sfg3en	geta
undirritaður	lkensf	undirritaður
ekki	aa	ekki
samþykkt	ssg	samþykkja
gjaldtöku	nveo	gjaldtaka
vegna	ae	vegna
hins	gkee	hinn
almenna	lkeevf	almennur
hluta	nkee	hluti
eftirlitsins	nheeg	eftirlit
,	,	,
þ.e.	as	þ.e.
reglulegt	lheosf	reglulegur
eftirlit	nheo	eftirlit
og	c	og
umsýslu	nveo	umsýsla
hvað	fshen	hver
varðar	sfg3en	varða
þá	fakfo	sá
sem	ct	sem
rækja	sfg3fn	rækja
skyldur	nvfo	skylda
sínar	fevfo	sinn
varðandi	slg	varða
þá	fakfo	sá
þætti	nkfo	þáttur
sem	ct	sem
lögin	nhfng	lag
kveða	sfg3fn	kveða
á	aa	á
um	aa	um
.	.	.
Þann	fakeo	sá
þátt	nkeo	þáttur
í	aþ	í
framkvæmd	nveþ	framkvæmd
laganna	nhfeg	lag
verður	sfg3en	verða
að	cn	að
meta	sng	meta
að	c	að
eðlilegt	lhensf	eðlilegur
sé	svg3en	vera
að	c	að
greiddur	sþgken	greiða
verði	svg3en	verða
af	aþ	af
opinberu	lheþsf	opinber
fé	nheþ	fé
.	.	.
Þetta	fahen	þessi
sérálit	nhen	sérálit
er	sfg3en	vera
í	aþ	í
fullu	lheþsf	fullur
samræmi	nheþ	samræmi
við	ao	við
samþykkt	nveo	samþykkt
Búnaðarþings	nhee-s	Búnaðarþing
2001	ta	2001
um	ao	um
þetta	faheo	þessi
mál	nheo	mál
.	.	.
Upphaf	nhen	upphaf
12.	ta	12.
gr.	as	gr.
orðist	svm3en	orða
svo	aa	svo
:	:	:
Búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
skal	sfg3en	skulu
á	aþ	á
hverjum	fokeþ	hver
vetri	nkeþ	vetur
,	,	,
fyrir	ao	fyrir
15.	ta	15.
apríl	nkeo	apríl
,	,	,
heimsækja	sng	heimsækja
alla	fokfo	allur
umráðamenn	nkfo	umráðamaður
búfjár	nhee	búfé
í	aþ	í
sínu	feheþ	sinn
umdæmi	nheþ	umdæmi
.	.	.
Bændasamtök	nhfn-s	Bændasamtök
Íslands	nhee-s	Ísland
hafa	sfg3fn	hafa
heimild	nveo	heimild
til	ae	til
að	cn	að
undanþiggja	sng	undanþiggja
einstök	lhfosf	einstakur
bú	nhfo	bú
sem	ct	sem
starfrækja	sfg3fn	starfrækja
innra	lheovm	innri
eftirlit	nheo	eftirlit
eða	c	eða
gæðastjórnun	nveo	gæðastjórnun
.	.	.
Þau	fphfn	það
skulu	sfg3fn	skulu
láta	sng	láta
búfjáreftirlitsmanni	nkeþ	búfjáreftirlitsmaður
...	...	...
(	(	(
greinin	nveng	grein
síðan	aa	síðan
óbreytt	lvensf	óbreyttur
)	)	)
.	.	.
Gunnar	nken-s	Gunnar
Sæmundsson	nken-s	Sæmundsson
.	.	.
Fylgiskjal	nhen	fylgiskjal
II.	ta	II.
Fjármálaráðuneyti	nhen	fjármálaráðuneyti
,	,	,
fjárlagaskrifstofa	nven	fjárlagaskrifstofa
:	:	:
Umsögn	nven	umsögn
um	ao	um
frumvarp	nheo	frumvarp
til	ae	til
laga	nhfe	lag
um	ao	um
búfjárhald	nheo	búfjárhald
o.fl.	as	o.fl.
Tilgangur	nken	tilgangur
frumvarpsins	nheeg	frumvarp
er	sfg3en	vera
að	cn	að
samræma	sng	samræma
eftirlit	nheo	eftirlit
með	aþ	með
búfjárhaldi	nheþ	búfjárhald
og	c	og
gera	sng	gera
það	fpheo	það
skilvirkara	lheovm	skilvirkur
.	.	.
Í	aþ	í
frumvarpinu	nheþg	frumvarp
er	sfg3en	vera
lagt	sþghen	leggja
til	aa	til
sveitarfélög	nhfn	sveitarfélag
á	aþ	á
hverju	foheþ	hver
starfssvæði	nheþ	starfssvæði
greiði	svg3fn	greiða
allan	fokeo	allur
kostnað	nkeo	kostnaður
við	ao	við
þá	faveo	sá
starfsemi	nveo	starfsemi
.	.	.
Sveitarfélögum	nhfþ	sveitarfélag
verður	sfg3en	verða
heimilt	lhensf	heimill
að	cn	að
leggja	sng	leggja
á	aa	á
eftirlitsgjald	nheo	eftirlitsgjald
á	aa	á
móti	aþ	móti
þessum	fakeþ	þessi
kostnaði	nkeþ	kostnaður
samkvæmt	aþ	samkvæmt
gjaldskrá	nveþ	gjaldskrá
sem	ct	sem
tekur	sfg3en	taka
mið	nheo	mið
af	aþ	af
kostnaði	nkeþ	kostnaður
við	ao	við
eftirlitið	nheog	eftirlit
.	.	.
Verði	svg3en	verða
frumvarpið	nheng	frumvarp
óbreytt	lhensf	óbreyttur
að	aþ	að
lögum	nhfþ	lag
verður	sfg3en	verða
ekki	aa	ekki
séð	sþghen	sjá
að	c	að
það	fphen	það
hafi	svg3en	hafa
aukinn	lkeosf	aukinn
kostnað	nkeo	kostnaður
í	aþ	í
för	nveþ	för
með	aþ	með
sér	fpheþ	sig
fyrir	ao	fyrir
ríkissjóð	nkeo	ríkissjóður
.	.	.
128.	ta	128.
löggjafarþing	nhen	löggjafarþing
2002-2003	ta	2002-2003
.	.	.
Þskj.	as	Þskj.
427	ta	427
-	-	-
375.	ta	375.
mál	nhen	mál
.	.	.
Frumvarp	nhen	frumvarp
til	ae	til
laga	nhfe	lag
um	ao	um
björgunarsveitir	nvfo	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
.	.	.
(	(	(
Lagt	sþghen	leggja
fyrir	ao	fyrir
Alþingi	nheo-s	Alþingi
