lifandi	lheþof	lifandi
á	aþ	á
Hótel	nheþ-s	hótel
Íslandi	nheþ-s	Ísland
föstudaginn	nkeog	föstudagur
6.	ta	6.
september	nkeo	september
.	.	.
Mikið	lhensf	mikill
verður	sfg3en	verða
um	ao	um
dýrðir	nvfo	dýrð
þegar	c	þegar
sjávarútvegsverðlaunin	nhfng	sjávarútvegsverðlaun
,	,	,
sem	ct	sem
sjávarútvegstímaritin	nhfng	sjávarútvegstímarit
World	e	World
Fishing	e	Fishing
og	c	og
Fiskifréttir	nvfn-s	Fiskifrétt
standa	sfg3fn	standa
að	aa	að
,	,	,
verða	sfg3fn	verða
afhent	sþghfn	afhenda
aðilum	nkfþ	aðili
sem	ct	sem
taldir	sþgkfn	telja
eru	sfg3fn	vera
hafa	sng	hafa
skarað	ssg	skara
fram	aa	fram
úr	aa	úr
á	aþ	á
ýmsum	fohfþ	ýmis
sviðum	nhfþ	svið
sjávarútvegs	nkee	sjávarútvegur
,	,	,
tækni	nvee	tækni
og	c	og
markaðssetningar	nvee	markaðssetning
.	.	.
Sérstakur	lkensf	sérstakur
hátíðarkvöldverður	nken	hátíðarkvöldverður
verður	sfg3en	verða
framreiddur	sþgken	framreiða
og	c	og
að	aþ	að
afloknum	lvfþsf	aflokinn
verðlaunaafhendingum	nvfþ	verðlaunaafhending
verður	sfg3en	verða
dans	nken	dans
stiginn	sþgken	stíga
fram	aa	fram
eftir	aþ	eftir
nóttu	nveþ	nótt
.	.	.
Nauðsynlegt	lhensf	nauðsynlegur
er	sfg3en	vera
að	cn	að
panta	sng	panta
borð	nheo	borð
á	aþ	á
verðlaunahátíðinni	nveþg	verðlaunahátíð
fyrirfram	aa	fyrirfram
en	c	en
það	fphen	það
er	sfg3en	vera
unnt	lhensf	unnt
að	cn	að
gera	sng	gera
á	aþ	á
heimasíðu	nveþ	heimasíða
sýningarinnar	nveeg	sýning
:	:	:
http://www.icefish.is	v	http://www.icefish.is
.	.	.
Stuðningsaðilar	nkfn	stuðningsaðili
hátíðarinnar	nveeg	hátíð
eru	sfg3fn	vera
Eimskip	nhfn-s	Eimskip
hf.	as	hf.
,	,	,
Fiskifréttir	nvfn-s	Fiskifrétt
,	,	,
Íslandsbanki	nken-s	Íslandsbanki
hf.	as	hf.
og	c	og
Sjóvá-Almennar	lvfnsf	sjóvá-almennur
hf.	as	hf.
Taiko	e	Taiko
Maru	e	Maru
no.	as	no.
7	ta	7
,	,	,
Kuroshio	e	Kuroshio
Maru	e	Maru
no.	as	no.
11	ta	11
og	c	og
Agpa	nxen-s	Agpa
koma	sfg3fn	koma
í	ao	í
dag	nkeo	dagur
.	.	.
Mánafoss	nken-s	Mánafoss
,	,	,
Bjarni	nken-s	Bjarni
Sæmundsson	nken-s	Sæmundsson
og	c	og
Carr	e	Carr
fara	sfg3fn	fara
í	ao	í
dag	nkeo	dagur
.	.	.
Mannamót	nhfn	mannamót
Aflagrandi	nken-s	Aflagrandi
40	ta	40
.	.	.
Bingó	nhen	bingó
í	ao	í
dag	nkeo	dagur
kl.	as	kl.
14	ta	14
.	.	.
Vetrarstarfið	nheng	vetrarstarf
er	sfg3en	vera
að	cn	að
hefjast	snm	hefja
eftir	ao	eftir
sumarfrí	nheo	sumarfrí
.	.	.
Vinnustofa	nven	vinnustofa
byrjar	sfg3en	byrja
mánud.	as	mánud.
2.	ta	2.
sept.	as	sept.
Skráning	nven	skráning
er	sfg3en	vera
hafin	sþgven	hefja
í	ao	í
eftirtalin	lhfosf	eftirtalinn
námskeið	nhfo	námskeið
:	:	:
leikfimi	nveo	leikfimi
,	,	,
myndmennt	nveo	myndmennt
,	,	,
leirkerasmíði	nveo	leirkerasmíði
,	,	,
postulín	nheo	postulín
og	c	og
ensku	nveo	enska
.	.	.
Ef	c	ef
næg	lvensf	nægur
þátttaka	nven	þátttaka
fæst	sfm3en	fá
verður	sfg3en	verða
jóga	nhen	jóga
á	aþ	á
þriðju-	as	þriðjud.
og	c	og
fimmtud.	as	fimmtud.
kl.	as	kl.
9	ta	9
,	,	,
skráning	nven	skráning
í	aþ	í
afgreiðslu	nveþ	afgreiðsla
.	.	.
Boccia	e	Boccia
á	aþ	á
mánu-	as	mánud.
og	c	og
fimmtud.	as	fimmtud.
kl.	as	kl.
10	ta	10
.	.	.
Verslunarferðir	nvfn	verslunarferð
verða	sfg3fn	verða
fyrsta	lkeove	fyrstur
miðvikud.	as	miðvikud.
hvers	fokee	hver
mánaðar	nkee	mánuður
,	,	,
næsta	lvenve	næstur
ferð	nven	ferð
verður	sfg3en	verða
miðvikud.	as	miðvikud.
4.	ta	4.
sept.	as	sept.
kl.	as	kl.
10	ta	10
.	.	.
Búnaðarbankinn	nkengs	Búnaðarbanki
kemur	sfg3en	koma
í	ao	í
miðstöðina	nveog	miðstöð
tvisvar	aa	tvisvar
í	aþ	í
mánuði	nkeþ	mánuður
,	,	,
næst	aae	nærri
þriðjud.	as	þriðjud.
3.	ta	3.
sept.	as	sept.
kl.	as	kl.
10.15	ta	10.15
.	.	.
Söngstund	nven	söngstund
við	ao	við
píanóið	nheog	píanó
.	.	.
Sungið	sþghen	syngja
verður	sfg3en	verða
á	aþ	á
þriðjud.	as	þriðjud.
kl.	as	kl.
14	ta	14
og	c	og
hefst	sfm3en	hefja
þriðjud.	as	þriðjud.
10.	ta	10.
sept.	as	sept.
,	,	,
skráning	nven	skráning
í	aþ	í
afgreiðslu	nveþ	afgreiðsla
.	.	.
Skráning	nven	skráning
í	aþ	í
afgreiðslu	nveþ	afgreiðsla
og	c	og
s.	as	s.
5622571	ta	5622571
.	.	.
Árskógar	nkfn-s	Árskógar
4	ta	4
.	.	.
Púttvöllurinn	nkeng	púttvöllur
er	sfg3en	vera
opinn	lkensf	opinn
kl.	as	kl.
10-16	ta	10-16
alla	fokfo	allur
daga	nkfo	dagur
.	.	.
Bólstaðarhlíð	nven-s	Bólstaðarhlíð
43	ta	43
.	.	.
Kl.	as	kl.
8-16	ta	8-16
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
8.30-12.30	ta	8.30-12.30
böðun	nven	böðun
,	,	,
kl.	as	kl.
9-16	ta	9-16
handavinna	nven	handavinna
,	,	,
kl.	as	kl.
9-17	ta	9-17
fótaaðgerð	nven	fótaaðgerð
,	,	,
kl.	as	kl.
13-16	ta	13-16
frjálst	lhensf	frjáls
að	cn	að
spila	sng	spila
í	aþ	í
sal	nkeþ	salur
.	.	.
Verslunarferð	nven	verslunarferð
annan	fokeo	annar
hvern	fokeo	hver
föstudag	nkeo	föstudagur
kl.	as	kl.
10-11.30	ta	10-11.30
.	.	.
Vetrastarfið	nheng	vetrastarf
hefst	sfm3en	hefja
mánud.	as	mánud.
2.	ta	2.
sept.	as	sept.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
5685052	ta	5685052
.	.	.
Félagsstarfið	nheng	félagsstarf
Dalbraut	nveþ-s	Dalbraut
18-20	ta	18-20
.	.	.
Kl.	as	kl.
9-14	ta	9-14
baðþjónusta	nven	baðþjónusta
,	,	,
hárgreiðslustofan	nveng	hárgreiðslustofa
opin	lvensf	opinn
kl.	as	kl.
9-17	ta	9-17
alla	fokfo	allur
daga	nkfo	dagur
nema	c	nema
mánudaga	nkfo	mánudagur
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
í	aþ	í
Kópavogi	nkeþ-s	Kópavogur
.	.	.
Félagsvist	nven	félagsvist
spiluð	sþgven	spila
í	aþ	í
Fannborg	nveþ-s	Fannborg
8	ta	8
(	(	(
Gjábakka	nkeþ-s	Gjábakki
)	)	)
kl.	as	kl.
20.30	ta	20.30
.	.	.
Félagsstarfið	nheng	félagsstarf
,	,	,
Lönguhlíð	nveþ-s	Langahlíð
3	ta	3
.	.	.
Kl.	as	kl.
8	ta	8
böðun	nven	böðun
,	,	,
kl.	as	kl.
10	ta	10
hársnyrting	nven	hársnyrting
,	,	,
kl.	as	kl.
10-12	ta	10-12
verslunin	nveng	verslun
opin	lvensf	opinn
,	,	,
kl.	as	kl.
13	ta	13
.	.	.
Opið	lhensf	opinn
hús	nhen	hús
,	,	,
spilað	sþghen	spila
á	ao	á
spil	nhfo	spil
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
Hafnarfirði	nkeþ-s	Hafnarfjörður
,	,	,
Hraunseli	nheþ-s	Hraunsel
,	,	,
Flatahrauni	nheþ-s	Flatahraun
3	ta	3
.	.	.
Brids	nhen	brids
og	c	og
frjáls	lvensf	frjáls
spilamenska	nven	spilamenska
kl.	as	kl.
13.30	ta	13.30
,	,	,
pútt	nhen	pútt
á	aþ	á
Hrafnistuvelli	nkeþ-s	Hrafnistuvöllur
kl.	as	kl.
14-16	ta	14-16
.	.	.
Á	ao	á
morgun	nkeo	morgunn
morgungangan	nveng	morgunganga
kl.	as	kl.
10	ta	10
frá	aþ	frá
Hraunseli	nheþ-s	Hraunsel
.	.	.
Rúta	nven	rúta
frá	aþ	frá
Firðinum	nkeþgs	Fjörður
kl	as	kl
9.50	ta	9.50
.	.	.
Olofsferð	nven	olofsferð
að	aþ	að
Höfðabrekku	nveþ-s	Höfðabrekka
10.-13.	ta	10.-13.
sept.	as	sept.
,	,	,
sækja	sng	sækja
þarf	sfg3en	þurfa
farseðlana	nkfog	farseðill
í	aþ	í
Hraunseli	nheþ-s	Hraunsel
í	ao	í
dag	nkeo	dagur
kl.	as	kl.
13-16	ta	13-16
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Reykjavík	nveþ-s	Reykjavík
,	,	,
Ásgarði	nkeþ-s	Ásgarður
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Sunnud.	as	Sunnud.
:	:	:
Dansleikur	nken	dansleikur
kl.	as	kl.
20	ta	20
.	.	.
Þriðjud.	as	Þriðjud.
:	:	:
Skák	nven	skák
hefst	sfm3en	hefja
að	aþ	að
nýju	lheþsf	nýr
kl.	as	kl.
13	ta	13
.	.	.
Opið	lhensf	opinn
hús	nhen	hús
hjá	aþ	hjá
Félagi	nheþ-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
7.	ta	7.
sept.	as	sept.
kl.	as	kl.
14-16	ta	14-16
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
.	.	.
Kynning	nven	kynning
á	aþ	á
starfi	nheþ	starf
og	c	og
markmiði	nheþ	markmið
félagsins	nheeg	félag
.	.	.
Réttarferð	nven	réttarferð
í	ao	í
Þverárrétt	nveo-s	Þverárrétt
15.	ta	15.
september	nkeo	september
.	.	.
Brottför	nven	brottför
frá	aþ	frá
Ásgarði	nkeþ-s	Ásgarður
kl.	as	kl.
12	ta	12
.	.	.
Skráning	nven	skráning
á	aþ	á
skrifstofu	nveþ	skrifstofa
FEB.	as	FEB.
Skrifstofa	nven	skrifstofa
félagsins	nheeg	félag
er	sfg3en	vera
flutt	lvensf	fluttur
að	aþ	að
Faxafeni	nheþ-s	Faxafen
12	ta	12
,	,	,
s.	as	s.
5882111	ta	5882111
.	.	.
Félagsstarfið	nheng	félagsstarf
er	sfg3en	vera
áfram	aa	áfram
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Félagsstarfið	nheng	félagsstarf
Furugerði	nheþ-s	Furugerði
1	ta	1
.	.	.
Í	ao	í
dag	nkeo	dagur
kl.	as	kl.
9	ta	9
aðstoð	nven	aðstoð
við	ao	við
böðun	nveo	böðun
,	,	,
kl.	as	kl.
14	ta	14
,	,	,
kynning	nven	kynning
á	aþ	á
vetrardagskrá	nveþ	vetrardagskrá
í	aþ	í
salnum	nkeþg	salur
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Minnt	sþghen	minna
er	sfg3en	vera
á	ao	á
að	c	að
vetrardagskrá	nven	vetrardagskrá
byrjar	sfg3en	byrja
2.	ta	2.
sept.	as	sept.
Þann	fakeo	sá
dag	nkeo	dagur
byrjar	sfg3en	byrja
bókbandið	nheng	bókband
.	.	.
Leikfimin	nveng	leikfimi
verður	sfg3en	verða
á	aþ	á
miðvikud.	as	miðvikud.
kl.	as	kl.
13	ta	13
og	c	og
á	aþ	á
föstud.	as	föstud.
kl.	as	kl.
10	ta	10
.	.	.
Félagsstarfið	nheng	félagsstarf
Hæðargarði	nkeþ-s	Hæðargarður
31	ta	31
.	.	.
Kl.	as	kl.
9-16.30	ta	9-16.30
opin	lvensf	opinn
vinnustofa	nven	vinnustofa
,	,	,
m.a.	as	m.a.
myndlist	nven	myndlist
og	c	og
rósamálun	nven	rósamálun
á	ao	á
tré	nheo	tré
,	,	,
kl.	as	kl.
9-17	ta	9-17
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
9.30	ta	9.30
gönguhópur	nken	gönguhópur
,	,	,
kl.	as	kl.
14	ta	14
brids	nhen	brids
.	.	.
Gerðuberg	nhen-s	Gerðuberg
,	,	,
kl.	as	kl.
9-16.30	ta	9-16.30
vinnustofur	nvfn	vinnustofa
opnar	lvfnsf	opinn
,	,	,
m.a	as	m.a
bútasaumur	nken	bútasaumur
og	c	og
fjölbreytt	lhensf	fjölbreyttur
föndur	nhen	föndur
,	,	,
kl.	as	kl.
10	ta	10
boccia	e	boccia
,	,	,
frá	aþ	frá
hádegi	nheþ	hádegi
spilasalur	nken	spilasalur
opinn	lkensf	opinn
,	,	,
myndlistarsýning	nven	myndlistarsýning
Huga	nkee-s	Hugi
Jóhannessonar	nkee-s	Jóhannesson
stendur	sfg3en	standa
yfir	aa	yfir
,	,	,
opið	lhensf	opinn
laugar-	nkeo	laugardagur
og	c	og
sunnudag	nkeo	sunnudagur
frá	aþ	frá
13-16.30	ta	13-16.30
.	.	.
Gjábakki	nken	gjábakki
,	,	,
Fannborg	nveþ-s	Fannborg
8	ta	8
.	.	.
Handavinnustofan	nveng	handavinnustofa
opin	lvensf	opinn
kl.	as	kl.
9.30-16	ta	9.30-16
.	.	.
Leikfimi	nven	leikfimi
hefst	sfm3en	hefja
Þriðjud.	as	Þriðjud.
3.	ta	3.
sept.	as	sept.
,	,	,
tveir	tfkfn	tveir
hópar	nkfn	hópur
,	,	,
annar	foken	annar
kl.	as	kl.
9.05	ta	9.05
og	c	og
hinn	faken	hinn
kl.	as	kl.
9.55	ta	9.55
.	.	.
miðvikud.	as	miðvikud.
4.	ta	4.
sept.	as	sept.
kl.	as	kl.
14-17	ta	14-17
verður	sfg3en	verða
kynning	nven	kynning
og	c	og
skráning	nven	skráning
á	aþ	á
væntanlegri	lveþsf	væntanlegur
starfsemi	nveþ	starfsemi
í	aþ	í
Gullsmára	nkeþ-s	Gullsmári
,	,	,
í	ao	í
vetur	nkeo	vetur
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
í	aþ	í
Kópavogi	nkeþ-s	Kópavogur
kynnir	sfg3en	kynna
fyrirhugaða	lveosf	fyrirhugaður
starfsemi	nveo	starfsemi
sína	feveo	sinn
.	.	.
Frístundahópurinn	nkeng	frístundahópur
Hana-nú	nxen-s	hananú
kynnir	sfg3en	kynna
sína	feveo	sinn
starfsemi	nveo	starfsemi
,	,	,
t.d.	as	t.d.
bridshópinn	nkeog	bridshópur
,	,	,
veflistahópinn	nkeog	veflistahópur
,	,	,
jóga	nheo	jóga
,	,	,
leirlistahópinn	nkeog	leirlistahópur
,	,	,
sönghópinn	nkeog	sönghópur
Gleðigjafana	nkfogs	Gleðigjafi
,	,	,
pútthópinn	nkeog	pútthópur
,	,	,
glerlistahópinn	nkeog	glerlistahópur
,	,	,
einnig	aa	einnig
verður	sfg3en	verða
kynning	nven	kynning
og	c	og
sýning	nven	sýning
á	aþ	á
hlutum	nkfþ	hlutur
og	c	og
munum	nkfþ	munur
sem	ct	sem
unnið	sþghen	vinna
er	sfg3en	vera
með	aa	með
á	aþ	á
hinum	fahfþ	hinn
ýmsu	fohfþ	ýmis
námskeiðum	nhfþ	námskeið
.	.	.
Gullsmári	nken	gullsmári
,	,	,
Gullsmára	nkeþ-s	Gullsmári
13	ta	13
.	.	.
Opið	lhensf	opinn
alla	fokfo	allur
virka	lkfosf	virkur
daga	nkfo	dagur
kl.	as	kl.
9-17	ta	9-17
.	.	.
Hraunbær	nken-s	Hraunbær
105	ta	105
.	.	.
Kl.	as	kl.
9-12	ta	9-12
baðþjónusta	nven	baðþjónusta
,	,	,
kl.	as	kl.
9-12.30	ta	9-12.30
bútasaumur	nken	bútasaumur
,	,	,
kl.	as	kl.
9-17	ta	9-17
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
9-17	ta	9-17
fótaaðgerð	nven	fótaaðgerð
,	,	,
kl.	as	kl.
13-14	ta	13-14
pútt	nhen	pútt
.	.	.
Hvassaleiti	nheþ-s	Hvassaleiti
56-58	ta	56-58
.	.	.
Fótaaðgerð	nven	fótaaðgerð
,	,	,
hársnyrting	nven	hársnyrting
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Norðurbrún	nveþ-s	Norðurbrún
1	ta	1
.	.	.
Kl.	as	kl.
9-13	ta	9-13
tréskurður	nken	tréskurður
,	,	,
kl.	as	kl.
9-17	ta	9-17
,	,	,
hárgreiðsla	nven	hárgreiðsla
kl.	as	kl.
10-11	ta	10-11
boccia	e	boccia
.	.	.
Leirnámskeið	nhen	leirnámskeið
hefst	sfm3en	hefja
5.	ta	5.
september	nkeo	september
,	,	,
skráning	nven	skráning
hjá	aþ	hjá
Birnu	nveþ-s	Birna
í	aþ	í
s.	as	s.
5686960	ta	5686960
.	.	.
Vesturgata	nven-s	Vesturgata
7	ta	7
.	.	.
Kl.	as	kl.
9-16	ta	9-16
fótaaðgerðir	nvfn	fótaaðgerð
og	c	og
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
9.15	ta	9.15
handavinna	nven	handavinna
,	,	,
kl.	as	kl.
14.30-16	ta	14.30-16
dansað	sþghen	dansa
,	,	,
kl.	as	kl.
15	ta	15
sýna	sfg3fn	sýna
nemendur	nkfn	nemandi
Sigvalda	nkee-s	Sigvaldi
dans	nkeo	dans
,	,	,
vöfflur	nvfn	vaffla
með	aþ	með
rjóma	nkeþ	rjómi
í	aþ	í
kaffitímanum	nkeþg	kaffitími
.	.	.
miðvikud.	as	miðvikud.
18.	ta	18.
sept.	as	sept.
kl.	as	kl.
13-16	ta	13-16
byrjar	sfg3en	byrja
fyrsti	lkenve	fyrstur
tréskurðartími	nken	tréskurðartími
vetrarins	nkeeg	vetur
,	,	,
skráning	nven	skráning
hafin	sþgven	hefja
.	.	.
Tvímenningur	nken	tvímenningur
í	aþ	í
brids	nheþ	brids
verður	sfg3en	verða
á	aþ	á
þriðjud.	as	þriðjud.
í	ao	í
vetur	nkeo	vetur
frá	aþ	frá
kl.	as	kl.
13-16.30	ta	13-16.30
.	.	.
Stjórnendur	nkfn	stjórnandi
Bjarni	nken-s	Bjarni
Guðmundsson	nken-s	Guðmundsson
og	c	og
Guðmundur	nken-s	Guðmundur
Pálsson	nken-s	Pálsson
(	(	(
einnig	aa	einnig
verður	sfg3en	verða
frjáls	lvensf	frjáls
spilamennska	nven	spilamennska
)	)	)
.	.	.
Skráning	nven	skráning
í	aþ	í
síma	nkeþ	sími
5627077	ta	5627077
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Vitatorg	nhen-s	Vitatorg
.	.	.
Kl.	as	kl.
9.30	ta	9.30
bókband	nhen	bókband
og	c	og
morgunstund	nven	morgunstund
,	,	,
kl.	as	kl.
13.30	ta	13.30
bingó	nhen	bingó
.	.	.
Eldri	lkfnvm	gamall
borgarar	nkfn	borgari
í	aþ	í
Mosfellsbæ	nkeþ-s	Mosfellsbær
,	,	,
Kjalarnesi	nheþ-s	Kjalarnes
og	c	og
Kjós	nveþ-s	Kjós
.	.	.
Mánud.	as	Mánud.
2.	ta	2.
sept.	as	sept.
byrjar	sfg3en	byrja
félagsstarfið	nheng	félagsstarf
á	aþ	á
Hlaðhömrum	nkfþ-s	Hlaðhamrar
kl.	as	kl.
13	ta	13
og	c	og
verður	sfg3en	verða
í	ao	í
vetur	nkeo	vetur
á	aþ	á
mánu-	nkfþ	mánudagur
og	c	og
fimmtudögum	nkfþ	fimmtudagur
í	ao	í
lok	nhfo	lok
starfs	nhee	starf
á	aþ	á
Mánud.	as	Mánud.
verður	sfg3en	verða
leikfimi	nven	leikfimi
kl.	as	kl.
16-16.30	ta	16-16.30
Jógatímar	nkfn	jógatími
verða	sfg3fn	verða
tilk.	as	tilk.
síðar	aam	síðar
.	.	.
Bókbandsnámskeið	nhen	bókbandsnámskeið
byrjar	sfg3en	byrja
laugard.	as	laugard.
7.	ta	7.
sept.	as	sept.
og	c	og
verður	sfg3en	verða
á	aþ	á
laugard.	as	laugard.
kl.	as	kl.
10-12	ta	10-12
.	.	.
Tréskurðarnámskeið	nhen	tréskurðarnámskeið
byrjar	sfg3en	byrja
fimmtud.	as	fimmtud.
5.	ta	5.
sept.	as	sept.
kl.	as	kl.
13	ta	13
.	.	.
Námskeið	nhen	námskeið
í	aþ	í
postulínsmálun	nveþ	postulínsmálun
byrjar	sfg3en	byrja
18.	ta	18.
nóv.	as	nóv.
-	-	-
9.	ta	9.
des.	as	des.
Bókavörður	nken	bókavörður
frá	aþ	frá
Bókasafninu	nheþgs	Bókasafn
í	aþ	í
Mos.	as	Mos.
mætir	sfg3en	mæta
á	ao	á
fimmtud.	as	fimmtud.
kl.	as	kl.
14	ta	14
með	ao	með
bækur	nvfo	bók
til	ae	til
útláns	nhee	útlán
,	,	,
boðið	sþghen	bjóða
verður	sfg3en	verða
uppá	ao	uppá
bókaspjall	nheo	bókaspjall
frá	aþ	frá
kl.	as	kl.
15-16	ta	15-16
sama	fbkeo	samur
dag	nkeo	dagur
.	.	.
Línudans	nken	línudans
,	,	,
tveggja	tfkfe	tveir
mán.	as	mán.
námskeið	nhen	námskeið
byrjar	sfg3en	byrja
laugard.	as	laugard.
5.	ta	5.
okt.	as	okt.
kl.	as	kl.
11	ta	11
.	.	.
Kór	nken	kór
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Vorboðar	nkfn-s	Vorboði
,	,	,
verður	sfg3en	verða
með	ao	með
kóræfingar	nvfo	kóræfing
á	aþ	á
fimmtud.	as	fimmtud.
í	aþ	í
Damos	nxeþ-s	Damos
kl.	as	kl.
17-19	ta	17-19
,	,	,
fyrsta	lvenve	fyrstur
æfing	nven	æfing
5.	ta	5.
sept.	as	sept.
Nýir	lkfnsf	nýr
félagar	nkfn	félagi
velkomnir	lkfnsf	velkominn
í	ao	í
kórinn	nkeog	kór
.	.	.
Hægt	lhensf	hægur
er	sfg3en	vera
að	cn	að
panta	sng	panta
hand-	nveo	handsnyrting
og	c	og
fótsnyrtingu	nveo	fótsnyrting
á	aþ	á
Hlaðhömrum	nkfþ-s	Hlaðhamrar
og	c	og
einnig	aa	einnig
hársnyrtingu	nveo	hársnyrting
.	.	.
Tekið	sþghen	taka
á	aa	á
móti	aþ	móti
pöntunum	nvfþ	pöntun
í	aþ	í
síma	nkeþ	sími
5668060	ta	5668060
.	.	.
Skráningar	nvfn	skráning
hjá	aþ	hjá
Svanhildi	nveþ-s	Svanhildur
í	aþ	í
s.	as	s.
5868014	ta	5868014
e.h.	as	e.h.
og	c	og
5256714	ta	5256714
f.h.	as	f.h.
Bridsdeild	nven-s	bridsdeild
FEBK	as	FEBK
Gjábakka	nkeþ-s	Gjábakki
.	.	.
Brids	nhen	brids
kl.	as	kl.
13.15	ta	13.15
í	ao	í
dag	nkeo	dagur
.	.	.
Hana-nú	aa	hananú
,	,	,
Kópavogi	nkeþ-s	Kópavogur
.	.	.
Laugardagsgangan	nveng	laugardagsganga
verður	sfg3en	verða
á	ao	á
morgun	nkeo	morgunn
.	.	.
Lagt	sþghen	leggja
af	aþ	af
stað	nkeþ	staður
frá	aþ	frá
Gjábakka	nkeþ-s	Gjábakki
,	,	,
Fannborg	nveþ-s	Fannborg
8	ta	8
,	,	,
kl.	as	kl.
10	ta	10
.	.	.
Gott	lhensf	góður
fólk	nhen	fólk
,	,	,
gott	lhensf	góður
rölt	nhen	rölt
.	.	.
Gengið	sþghen	ganga
frá	aþ	frá
Gullsmára	nkeþ-s	Gullsmári
13	ta	13
,	,	,
kl.	as	kl.
10	ta	10
á	aþ	á
laugardögum	nkfþ	laugardagur
.	.	.
Ungt	lhensf	ungur
fólk	nhen	fólk
með	ao	með
ungana	nkfog	ungi
sína	fekfo	sinn
.	.	.
Hitt	fahen	hinn
húsið	nheng	hús
býður	sfg3en	bjóða
ungum	lkfþsf	ungur
foreldrum	nkfþ	foreldrar
(	(	(
ca.	as	ca.
16-25	ta	16-25
ára	nhfe	ár
)	)	)
að	cn	að
mæta	sng	mæta
með	ao	með
börnin	nhfog	barn
sín	fehfo	sinn
á	ao	á
laugard.	as	laugard.
kl.	as	kl.
15-17	ta	15-17
á	ao	á
Geysi	nkeo-s	Geysir
,	,	,
Kakóbar	nkeo-s	kakóbar
,	,	,
Aðalstræti	nheþ-s	Aðalstræti
2	ta	2
(	(	(
gengið	sþghen	ganga
inn	aa	inn
Vesturgötumegin	aa	vesturgötumegin
)	)	)
.	.	.
Opið	lhensf	opinn
hús	nhen	hús
og	c	og
kaffi	nhen	kaffi
á	aþ	á
könnunni	nveþg	kanna
,	,	,
djús	nhen	djús
,	,	,
leikföng	nhfn	leikfang
og	c	og
dýnur	nvfn	dýna
fyrir	ao	fyrir
börnin	nhfog	barn
.	.	.
Tómstundastarf	nhen	tómstundastarf
eldri	lkfevm	gamall
borgara	nkfe	borgari
í	aþ	í
Reykjanesbæ	nkeþ-s	Reykjanesbær
byrjar	sfg3en	byrja
vetrarstarfið	nheog	vetrarstarf
1.	ta	1.
sept.	as	sept.
Allir	fokfn	allur
fastir	lkfnsf	fastur
liðir	nkfn	liður
eins	aa	eins
og	c	og
síðasta	lkeove	síðari
vetur	nkeo	vetur
(	(	(
stundaskrár	nvfn	stundaskrá
liggja	sfg3fn	liggja
frammi	aa	frammi
í	aþ	í
Félagsmiðstöðvunum	nvfþgs	Félagsmiðstöð
Hvammi	nkeþ-s	Hvammur
og	c	og
Selinu	nheþgs	Sel
)	)	)
,	,	,
nema	c	nema
leikfimin	nveng	leikfimi
sem	ct	sem
verður	sfg3en	verða
á	aþ	á
mánud.	as	mánud.
kl	as	kl
10	ta	10
og	c	og
á	aþ	á
fimmtud.	as	fimmtud.
kl.	as	kl.
11.15	ta	11.15
í	aþ	í
íþróttahúsinu	nheþg	íþróttahús
við	ao	við
Sunnubraut	nveo-s	Sunnubraut
.	.	.
Boðið	sþghen	bjóða
verður	sfg3en	verða
upp	aa	upp
á	ao	á
eftirtalin	lhfosf	eftirtalinn
námskeið	nhfo	námskeið
ef	c	ef
næg	lvensf	nægur
þátttaka	nven	þátttaka
fæst	sfm3en	fá
.	.	.
Útsaumsnámskeið	nhen	útsaumsnámskeið
,	,	,
myndmennt	nven	myndmennt
(	(	(
vatnslitamálun	nven	vatnslitamálun
)	)	)
,	,	,
útskurðarnámskeið	nhen	útskurðarnámskeið
,	,	,
tölvunámskeið	nhen	tölvunámskeið
,	,	,
spænskunámskeið	nhen	spænskunámskeið
.	.	.
Skráning	nven	skráning
í	aþ	í
síma	nkeþ	sími
8612085	ta	8612085
,	,	,
Jóhanna	nven-s	Jóhanna
.	.	.
Háteigskirkja	nven	háteigskirkja
,	,	,
eldri	lkfnvm	gamall
borgarar	nkfn	borgari
.	.	.
Púttvöllurinn	nkeng	púttvöllur
opinn	lkensf	opinn
